Genes dropped due to baseline enrichment beneath the 0.05 percentile and below1mean value
gene_name	low_baseline_mark
A1BG	h3k36me3_body
A1BG-AS1	h3k36me3_body
A1CF	h3k36me3_body
A2M	h3k36me3_body
A2M-AS1	h3k36me3_body
A2ML1	h3k36me3_body
A2MP1	h3k36me3_body
A3GALT2	h3k36me3_body
A4GALT	h3k36me3_body
A4GNT	h3k36me3_body
AA06	h3k36me3_body
AAAS	h3k36me3_body
AACS	h3k36me3_body
AACSP1	h3k36me3_body
AADAC	h3k36me3_body
AADACL2	h3k36me3_body
AADACL2-AS1	h3k36me3_body
AADACL3	h3k36me3_body
AADACL4	h3k36me3_body
AADACP1	h3k36me3_body
AADAT	h3k36me3_body
AAED1	h3k36me3_body
AAK1	h3k36me3_body
AAMDC	h3k36me3_body
AAMP	h3k36me3_body
AANAT	h3k36me3_body
AAR2	h3k36me3_body
AARD	h3k36me3_body
AARS	h3k36me3_body
AARS2	h3k36me3_body
AARSD1	h3k36me3_body
AASDH	h3k36me3_body
AASDHPPT	h3k36me3_body
AASS	h3k36me3_body
AATBC	h3k36me3_body
AATF	h3k36me3_body
AATK	h3k36me3_body
AATK-AS1	h3k36me3_body
ABALON	h3k36me3_body
ABAT	h3k36me3_body
ABCA1	h3k36me3_body
ABCA10	h3k36me3_body
ABCA11P	h3k36me3_body
ABCA12	h3k36me3_body
ABCA13	h3k36me3_body
ABCA17P	h3k36me3_body
ABCA2	h3k36me3_body
ABCA3	h3k36me3_body
ABCA4	h3k36me3_body
ABCA5	h3k36me3_body
ABCA6	h3k36me3_body
ABCA7	h3k36me3_body
ABCA8	h3k36me3_body
ABCA9	h3k36me3_body
ABCA9-AS1	h3k36me3_body
ABCB1	h3k36me3_body
ABCB10	h3k36me3_body
ABCB11	h3k36me3_body
ABCB4	h3k36me3_body
ABCB5	h3k36me3_body
ABCB6	h3k36me3_body
ABCB7	h3k36me3_body
ABCB8	h3k36me3_body
ABCB9	h3k36me3_body
ABCC1	h3k36me3_body
ABCC10	h3k36me3_body
ABCC11	h3k36me3_body
ABCC12	h3k36me3_body
ABCC13	h3k36me3_body
ABCC2	h3k36me3_body
ABCC3	h3k36me3_body
ABCC4	h3k36me3_body
ABCC5	h3k36me3_body
ABCC5-AS1	h3k36me3_body
ABCC6	h3k36me3_body
ABCC6P1	h3k36me3_body
ABCC6P2	h3k36me3_body
ABCC8	h3k36me3_body
ABCC9	h3k36me3_body
ABCD1	h3k36me3_body
ABCD2	h3k36me3_body
ABCD3	h3k36me3_body
ABCD4	h3k36me3_body
ABCE1	h3k36me3_body
ABCF1	h3k36me3_body
ABCF2	h3k36me3_body
ABCF3	h3k36me3_body
