status	h3k27me3_percentile	h3k36me3_percentile
BAE	0.313016885	0.66815989
BAE	0.578437285	0.438146106
BAE	0.467823915	0.514774294
BAE	0.171218125	0.67841144
BAE	0.513137491	0.512017574
BAE	0.166178498	0.898561337
BAE	0.238542385	0.757753274
BAE	0.202748105	0.573483804
BAE	0.410751206	0.85889042
BAE	0.169452102	0.596355961
MAE	0.703911096	0.46950379
MAE	0.139472777	0.784157478
BAE	0.243108201	0.723552722
BAE	0.131374914	0.935217092
BAE	0.210759821	0.880685734
BAE	0.250818401	0.559614059
BAE	0.399336664	0.638395934
MAE	0.866643694	0.362982426
BAE	0.22363887	0.679229841
BAE	0.149767402	0.773819779
BAE	0.147699862	0.918073742
BAE	0.321071675	0.815429014
MAE	0.766368022	0.449603722
MAE	0.624440041	0.171088904
MAE	0.656185389	0.263611303
BAE	0.120649552	0.933106478
MAE	0.848466575	0.382279462
BAE	0.198139214	0.526533425
MAE	0.663292557	0.226352516
BAE	0.224758787	0.911268091
BAE	0.177463818	0.801645417
MAE	0.555780496	0.4255255
BAE	0.470408339	0.481478291
BAE	0.204600276	0.840756375
MAE	0.684657133	0.09726051
BAE	0.255599586	0.835372157
BAE	0.313921433	0.893177119
BAE	0.231650586	0.795528946
MAE	0.619055824	0.343426947
BAE	0.374353894	0.763180565
BAE	0.373664714	0.62004652
BAE	0.295959683	0.97467264
MAE	0.416523088	0.59299621
BAE	0.215325637	0.741471399
BAE	0.369615782	0.560217092
BAE	0.417212267	0.538852516
MAE	0.743108201	0.355530669
BAE	0.675783942	0.621037216
BAE	0.251162991	0.650887319
BAE	0.19383184	0.87431082
MAE	0.38098725	0.55974328
BAE	0.296648863	0.737465541
BAE	0.216402481	0.821890076
BAE	0.211190558	0.771838387
BAE	0.322493108	0.774638181
MAE	0.292599931	0.941807374
BAE	0.515377326	0.568788766
BAE	0.128790489	0.718728463
BAE	0.080289456	0.932675741
MAE	0.755341144	0.226266368
BAE	0.12465541	0.88628532
BAE	0.184484838	0.97122674
BAE	0.312586147	0.764429704
BAE	0.320770159	0.848595796
BAE	0.203394211	0.850232598
MAE	0.386500689	0.560992419
BAE	0.464076499	0.737120951
BAE	0.038421778	0.817539628
BAE	0.185906272	0.665963129
MAE	0.479109235	0.600103377
BAE	0.190859752	0.810174018
BAE	0.350706409	0.886802205
BAE	0.357124397	0.67875603
BAE	0.333347691	0.569391799
BAE	0.36625603	0.620692626
BAE	0.235656444	0.943573398
BAE	0.391152653	0.760165403
MAE	0.337224328	0.546218125
MAE	0.715196416	0.376206065
MAE	0.483244314	0.523389042
BAE	0.427205376	0.642617161
BAE	0.515808063	0.797381116
BAE	0.269426258	0.727343212
BAE	0.084984493	0.897139904
BAE	0.227601654	0.887276017
BAE	0.276318057	0.685174018
BAE	0.289670917	0.716100965
BAE	0.218383873	0.51162991
BAE	0.216574776	0.705203308
BAE	0.099888008	0.719546864
BAE	0.284286699	0.68185734
BAE	0.272355272	0.778945555
BAE	0.400241213	0.808709511
BAE	0.396967609	0.731521365
BAE	0.399250517	0.698656099
BAE	0.42875603	0.468599242
BAE	0.287431082	0.646838387
BAE	0.341747071	0.75275672
BAE	0.443917988	0.880125775
BAE	0.298931771	0.484881116
BAE	0.142014128	0.936767746
BAE	0.210889042	0.66182805
BAE	0.658123708	0.327101999
BAE	0.313146106	0.739705376
MAE	0.180091316	0.692970365
BAE	0.381504135	0.875387664
BAE	0.284631289	0.85923501
BAE	0.213990351	0.858201241
BAE	0.217177808	0.864705376
BAE	0.404634735	0.967780841
BAE	0.283296003	0.756374914
BAE	0.627842867	0.422251895
BAE	0.319994831	0.648690558
BAE	0.297036527	0.618495865
BAE	0.536914197	0.605961406
BAE	0.197751551	0.777610269
BAE	0.311509304	0.769383184
MAE	0.856176775	0.328824948
BAE	0.094116127	0.048285665
BAE	0.300956237	0.833304618
BAE	0.18151275	0.621381806
BAE	0.145244659	0.767143349
BAE	0.340713301	0.885682288
BAE	0.193616471	0.864274638
BAE	0.325206754	0.623837009
BAE	0.419021365	0.660018952
BAE	0.616083735	0.377885941
BAE	0.418762922	0.610785665
MAE	0.314825982	0.710716747
BAE	0.209467609	0.704212612
MAE	0.706581668	0.234838043
MAE	0.322148518	0.667427636
BAE	0.272570641	0.554875948
BAE	0.289843212	0.749396968
BAE	0.396235355	0.752541351
BAE	0.186164714	0.811337009
BAE	0.166953825	0.785406616
BAE	0.195167126	0.963818057
MAE	0.681598897	0.244960372
BAE	0.34932805	0.656573053
BAE	0.342436251	0.739016196
BAE	0.421433494	0.857684356
MAE	0.659846657	0.420787388
BAE	0.373147829	0.938146106
BAE	0.349888008	0.737164025
BAE	0.410880427	0.482382839
BAE	0.263309786	0.515549621
BAE	0.141195727	0.888869745
BAE	0.423199518	0.634734666
BAE	0.321416265	0.85393694
BAE	0.376464507	0.909502068
BAE	0.290920055	0.817927292
MAE	0.694994831	0.315988973
MAE	0.591014817	0.356736733
BAE	0.244572708	0.634217781
MAE	0.670615093	0.446803928
MAE	0.693702619	0.325465196
BAE	0.319133356	0.951240524
BAE	0.327360441	0.867806685
MAE	0.763826671	0.261802205
BAE	0.750215369	0.258571675
BAE	0.640118884	0.441290489
MAE	0.744185045	0.201412819
MAE	0.679962095	0.332615438
MAE	0.469159201	0.374181599
BAE	0.194434873	0.888912819
BAE	0.41505858	0.681943487
BAE	0.356650586	0.649724328
BAE	0.789843212	0.414541695
BAE	0.124612336	0.948526878
BAE	0.151404204	0.849543418
