gene	expression
SNORD99	457313
SNORD1C	130981
SNORD79	85001.8
SNORD47	41630.7
SNORD45C	13787.4
MIR1234	13264.5
SNORD86	12660.4
MIR3064	10611.6
MIR1909	8166.3
SNORD104	8166.3
SCARNA22	7615.55
SNORD32A	7197.96
RPL23	6774.46
MIR5047	6195.43
MIR1244-1	5758.37
ACTG1	4891.17
MIR3661	4742.99
MIR142	4504.15
ACTB	4457.66
SNORD33	4450.01
MIR3607	4109.59
GNB2L1	4013.35
SNORD71	3571.5
RPS25	3280.13
RPL37A	3228.18
RPS6	2931.18
TPT1	2926.54
RPL3	2893.56
RPS3	2751.23
SNORD20	2722.1
MIF	2712.36
RPL26	2581.03
HLA-B	2527.96
RPL35	2507.02
RPS18	2360.45
MIR3652	2299.12
MIR146A	2291.46
RPL28	2218.25
RPL38	2152.9
CD74	2097.66
HLA-C	2091.34
SNORA61	2029.25
RPS11	2028.04
HLA-DRA	1990.93
RPLP0	1961.73
MIR29B2	1931.86
MIR4659A	1931.86
MIR4737	1931.86
RPS24	1838.81
RPS19	1775.09
SNORD45A	1768.61
SNORD103B	1704.94
RPL23P8	1692.71
GAPDH	1642.94
EEF2	1617.74
RPS14	1596.2
RPL8	1582.5
B2M	1578.61
MIR4647	1512.13
RPS15A	1494.16
CD48	1482.45
SNORD88C	1448.12
SNORD116-29	1437.79
MIR555	1436.44
EEF1A1	1432.31
RPS29	1362.08
SNORD121B	1318.37
SNORD19B	1318.37
RPL11	1297.64
RPL19	1289.9
RPS5	1275.51
SNORD35A	1190.5
SNORD116-24	1179.05
NACA2	1164.99
UBB	1156.51
ENO1	1141.26
SNORD60	1112.5
RPLP2	1083.72
RPL4	1058.23
RPL7	1047.25
RPL10A	1033.83
RPLP1	1003.92
SNORD35B	1000.92
TMSB10	990.63
SNORD116-15	982.54
SNORD116-20	982.54
SNORD116-21	982.54
RPS8	969.91
RPS12	966.57
PABPC1	953.44
RPL36	953.2
RPL7A	946.21
RPL41	918.02
RPL30	917.06
RPL5	893.88
SNORD11	884.3
PKM2	883.14
RPS2	869.16
NACA	862.42
MIR29C	852.47
HSPA8	844.99
RPL31	835.41
HLA-A	822.94
RPS16	819.05
PFN1	812.04
RPL13A	810.13
MYL6	794.25
ISG15	793.76
SNORD46	791.49
COX4I1	779.59
EDARADD	758.98
ALDOA	739.72
SNORD127	723.62
SRGN	711.5
SNORD83A	706.7
RPL27	681.31
MIR3917	659.19
RPS9	644.49
SNORD12	638.57
FAU	626.65
NCL	617.34
EDF1	615.06
EEF1G	608.19
HSP90AB1	608.01
RPS7	597.25
SNORD62A	595.25
SNORD62B	595.25
EEF1B2	593.36
RPL32	590.47
RPL24	580.72
HSP90B1	579.33
RPL6	578.52
MIR4800	563.15
RPL36AL	556.99
LDHA	555.92
SNORD16	553.16
MIR1282	549.06
RPL19P12	539.3
SNORD21	530.02
TPI1	527.18
RPSAP58	524.45
RPS17	523.26
FTH1	515.46
RPS17L	514.29
PABPC3	513.29
SNORA51	503.27
LCP1	503.06
SNORD105B	494.28
ATPIF1	492.38
LDHB	486.09
NME2	480.48
RPL18	473.5
CFL1	467.97
UBC	467.71
FTL	462.72
RPL17	460.12
NPM1	454.8
RPS3A	444.07
RPSA	442.09
SNORD83B	439.46
SNORD88B	434.44
TUBB	431.1
SNORD103A	426.24
SNORD70	426.24
CALR	418.09
EIF1	397.6
PTMA	396.02
MIR3916	393.02
SNORD116-16	393.02
RPL14	390.56
P4HB	381.49
RPL35A	378.64
HSP90AA1	370.51
SRP14	369.34
HLA-DRB1	367.02
RPL29	360.33
RPS20	359.91
HLA-DPA1	352.26
BTF3	351.16
UQCRHL	347.93
MX1	343.49
EEF1D	343.01
NACAP1	340.28
RPL37	340.01
RPS27A	339.34
RPL12	338.28
EIF3H	338.07
TAGLN2	335.61
PFDN5	335.28
RPL18A	321.63
SNORD119	319.21
MIR3651	319.13
DBI	318.72
ARPC1B	316.54
PDLIM1	313.45
GNAS	304.25
SNORD10	302.56
SNORA64	298.78
RPS13	298.75
NDUFS5	298.05
HLA-E	297.55
HSPA5	296.92
PARK7	294.08
EIF3D	288.31
TOMM7	287.92
CORO1A	281.65
COX7C	281.25
MIR3960	279.8
TUBA1B	278.44
RNU12	273.44
PPIB	272
HNRNPH1	267.87
HLA-F	261.16
STMN1	257.99
OAZ1	256.02
SNORD22	255.04
MTRNR2L8	253.32
ATP5B	248.88
PCBP1	248.43
LUC7L3	248.42
MALAT1	248.21
FNBP1	246.93
COTL1	242.04
RPS10	240.71
YWHAE	239.09
H2AFZ	237.42
AURKAIP1	224.52
ARHGDIB	224.27
HSP90AB3P	224.05
YBX1	224
HMGB2	222.93
RPS15	222.72
PTPN6	222.65
IFITM1	222.1
SNORA40	221.83
LOC100499405	221.15
CTSZ	220.52
RPS27	220.47
LAPTM5	219.71
EIF3I	217.59
DNAJA1	217.19
CHCHD8	214.11
RPL9	214.01
MTRNR2L2	208.16
