chrom	start	end	size	num_data	min	max	mean	median	sum	name	norm_sum	percentile
chr1	147119168	147142666	23498	21298	0.04	8	3.03	3	64634	ACP6	2.8508292166549	0.387096774193548
chr1	142697421	142713606	16185	15535	0.12	16.12	3.88	3.12	60285	ANKRD20A12P	2.64957332573864	0.32258064516129
chr1	145470508	145475648	5140	5140	1	37.2	7.59	6.04	38998.84	ANKRD34A	5.10512150550584	0.532258064516129
chr1	145549209	145568527	19318	19043	0.44	32.92	10.22	10	194547.4	ANKRD35	12.6181995070697	0.903225806451613
chr1	147013271	147098021	84750	79825	0.04	32.04	5.86	5	467964.28	BCL9	5.49525516605157	0.612903225806452
chr1	145695798	145715640	19842	17642	0.04	17.8	3.62	2.96	63821	CD160	3.40687556718091	0.451612903225806
chr1	146714291	146767448	53157	47634	0.04	11	2.69	2.4	128317	CHD1L	2.37233078814546	0.161290322580645
chr1	148901845	148904055	2210	2210	5.08	19.6	11.86	11.84	26214.4	DRD5P2	13.4157625383828	0.975806451612903
chr1	143896525	143913161	16636	14575	0.04	8.6	2.48	2	36081	FAM72C	2.50058909141313	0.258064516129032
chr1	143896452	143913144	16692	14648	0.04	8.6	2.47	2	36154	FAM72D	2.4961336647335	0.225806451612903
chr1	146655884	146697231	41347	37472	0.04	16.24	4.66	4.44	174455.52	FMO5	6.2866854054054	0.709677419354839
chr1	147228332	147245467	17135	16985	0.44	23.48	8.13	7.84	138028.52	GJA5	9.32625135135135	0.838709677419355
chr1	147374946	147381396	6450	6450	0.76	16.24	6.47	6.22	41730.76	GJA8	6.91703685041041	0.774193548387097
chr1	145509752	145516077	6325	5500	0.16	9	3.19	3	17518.4	GNRHR2	3.15646846846847	0.435483870967742
chr1	145764595	145827104	62509	49459	0.04	8.6	2.24	2	110709.48	GPR89A	2.49802521728928	0.241935483870968
chr1	147400506	147465754	65248	47598	0.04	10	1.97	1.88	93784.12	GPR89B	2.26657611716654	0.129032258064516
chr1	145413191	145417546	4355	4355	4	27.6	15.36	14.76	66878.76	HFE2	16.2563830821585	1
chr1	145524891	145543869	18978	16003	0.08	9.84	3.18	3	50900.88	ITGA10	3.55859627339614	0.467741935483871
chr1	146853914	146989700	135786	123036	0.04	24.68	4.93	4.12	606886.56	LINC00624	5.80654227818977	0.661290322580645
chr1	143717588	143744520	26932	22732	0.04	12.76	3.38	3	76879.8	LINC01138	2.60150920411478	0.306451612903226
chr1	145477067	145501670	24603	19320	0.04	10	2.52	2	48657	LIX1L	2.00998859862192	0.0806451612903226
chr1	143687127	143717174	30047	23672	0.04	8.92	2.16	2	51213	LOC100132057	2.44895792687126	0.209677419354839
chr1	148901845	148904055	2210	2210	5.08	19.6	11.86	11.84	26214.4	LOC101060524	13.4157625383828	0.975806451612903
chr1	148876040	148902124	26084	26034	0.4	33.48	13.15	12.8	342414.08	LOC101927429	5.67333410653633	0.645161290322581
chr1	147680370	147719343	38973	38673	0.04	35.52	9.39	7.36	363327.76	LOC101927468	7.00326061395765	0.790322580645161
chr1	145376206	145382405	6199	6199	1	21.96	11.36	11.12	70396.84	LOC101928979	6.88881886681671	0.758064516129032
chr1	143134603	143202240	67637	63137	0.04	21.36	4.79	4.2	302637.56	LOC102723769	2.51047333056823	0.290322580645161
chr1	148928313	148951596	23283	23233	0.52	32.76	11.23	10.36	260932.96	LOC645166	5.34883705675242	0.548387096774194
chr1	146490895	146514600	23705	23530	0.12	22.6	8.88	8.76	208950.8	LOC728989	10.4656455668306	0.870967741935484
chr1	147806603	147806679	76	76	10.56	13.64	12.09	11.72	918.8	MIR5087	5.42769376181474	0.580645161290323
chr1	145584423	145584482	59	59	2.48	3	2.68	2.76	158	MIR6736	2.67796610169492	0.354838709677419
chr1	145293371	146466122	1172751	818701	0.04	37.2	3.96	2.92	3239295.92	NBPF10	4.16396710964453	0.5
chr1	147574323	147624470	50147	32897	0.04	7.12	2.15	2	70612.4	NBPF11	2.8591488844799	0.403225806451613
chr1	146373857	146467640	93783	50183	0.04	19	1.84	1	92515	NBPF12	2.66000575043128	0.338709677419355
chr1	146571066	146585929	14863	14763	0.2	19.92	7.13	6.6	105219.04	NBPF13P	7.02162429095762	0.806451612903226
chr1	148250249	148346757	96508	36701	0.04	13.04	1.61	1	59187.68	NBPF14	2.77647535646669	0.370967741935484
chr1	148558188	148596268	38080	25380	0.04	10	2.68	2	68102	NBPF15	2.39315458410936	0.193548387096774
chr1	144146811	146467745	2320934	1623170	0.04	142.96	7.55	4.24	12260617	NBPF20	5.43627310355224	0.596774193548387
chr1	148250250	149109726	859476	504176	0.04	417.56	7.95	5.2	4009753	NBPF25P	5.94271668539009	0.67741935483871
chr1	147574323	148346930	772607	513907	0.04	102.64	6.22	5	3198724	NBPF8	6.60408997532801	0.741935483870968
chr1	144614959	145370305	755346	552296	0.04	142.96	13.21	10.64	7296145.72	NBPF9	6.16536271060977	0.693548387096774
chr1	145209113	145286271	77158	76833	0.08	84.16	14.67	13.04	1127378.24	NOTCH2NL	5.58849372662865	0.629032258064516
chr1	145586493	145589436	2943	2693	0.24	6	2.26	2	6077	NUDT17	1.38428246013667	0.032258064516129
chr1	144851424	145039996	188572	186372	0.08	107.44	12.28	10	2288722.64	PDE4DIP	5.41421169791235	0.564516129032258
