name	chrom	h3k27me3_norm_sum	h3k36me3_norm_sum
AAGAB	chr15	2.18288913746809	4.37442588579771
ABHD17C	chr15	2.5403917679147	2.30311067030333
ABHD2	chr15	1.81513635962461	4.10288193933688
ACAN	chr15	7.64713234489978	0.912415829518646
ACSBG1	chr15	4.10339886959004	1.6107752167602
ACTC1	chr15	11.7069426664851	0.815061963775024
ACTG1P17	chr15	2.55966428452717	2.95329233837461
ADAL	chr15	1.76235030602789	4.62137532535752
ADAM10	chr15	2.16992984833036	5.00246592094771
ADAMTS17	chr15	5.57611963502772	0.967233364862534
ADAMTS7	chr15	6.03667280278259	0.929869653020011
ADAMTS7P1	chr15	5.67004232476515	1.03561474140601
ADAMTSL3	chr15	4.20058256155105	1.1809255979341
ADPGK	chr15	2.53934728605872	9.04579649454418
ADPGK-AS1	chr15	5.04733947601894	1.05858443876733
AEN	chr15	2.63124955373081	8.86943591574438
AGBL1	chr15	4.09267568696557	1.04719835258923
AGBL1-AS1	chr15	4.44334336955099	1.02375965440503
AKAP13	chr15	2.37938388051603	4.76779794691432
ALDH1A2	chr15	8.12238768301992	1.03339076359762
ALDH1A3	chr15	8.85843733635888	1.13448463955315
ALPK3	chr15	8.52424501494974	0.876577298039373
ANKDD1A	chr15	2.51564268788841	2.23845844324228
ANKRD34C	chr15	10.1031439006574	0.897370343316289
ANKRD34C-AS1	chr15	8.56866015440728	0.880708294501398
ANKRD63	chr15	13.5553278688525	0.948978697291137
ANP32A	chr15	2.26122448979592	6.69085405405405
ANP32A-IT1	chr15	1.12686260304282	5.39893481623622
ANP32AP1	chr15	3.45369369369369	2.08857657657658
ANPEP	chr15	5.82649663697322	0.842943819183919
ANXA2	chr15	2.14869950812342	6.12596735728126
AP3B2	chr15	7.23210277436108	0.906819734864015
AP3S2	chr15	2.32294977937598	5.34340206231316
AP4E1	chr15	2.13574831202364	5.3324948812152
APBA2	chr15	6.31372156705247	0.893424367446785
APH1B	chr15	2.50910809339804	2.87803781902605
AQP9	chr15	7.95344649446494	0.778502842325721
AQR	chr15	2.40732403132943	6.9382511541055
ARHGAP11A	chr15	2.19825638621983	6.94015155066011
ARHGAP11B	chr15	2.09208891595615	6.80569427527406
ARID3B	chr15	2.41086102057261	8.55885108863767
ARIH1	chr15	2.30709357559729	5.53181334039598
ARNT2	chr15	8.25150675493837	0.948060713709026
ARPIN	chr15	5.16830929012933	0.987923500923815
ARPP19	chr15	2.11604032289212	5.45568730446873
ARRDC4	chr15	4.00970798619877	0.923638811747875
ASB7	chr15	2.253858864305	5.53770765324628
ASB9P1	chr15	2.65271932532783	0.859183308688517
ATP10A	chr15	4.12278779763716	1.11369215475442
ATP8B4	chr15	5.88459036972015	0.986623853294462
AVEN	chr15	2.56195120262909	1.90347926109032
B2M	chr15	3.11736683167371	10.3909758987787
BAHD1	chr15	2.86870129578477	4.07698054451406
BBS4	chr15	1.98583857886916	3.07042341619398
BCL2A1	chr15	2.05361074385916	2.98188295873634
BCL2L10	chr15	2.32440781770693	1.17025128343691
BLM	chr15	2.06443671074106	5.6072404440106
BLOC1S6	chr15	2.19898603862137	4.63873355757977
BMF	chr15	1.65886277504966	3.7563464618014
BNC1	chr15	8.13690480289206	1.06717163022896
BNIP2	chr15	2.19880282578529	6.74968462217737
BTBD1	chr15	2.25127037625861	7.51696449390567
BUB1B	chr15	2.42668879295814	7.898497871179
BUB1B-PAK6	chr15	5.14413766598542	3.16033374878328
C15orf32	chr15	7.3518773143819	0.807892276042641
C15orf38-AP3S2	chr15	2.97089516083601	4.31101797081855
C15orf39	chr15	3.26061936013126	10.8606111566858
C15orf40	chr15	2.14134412775868	4.60456692913386
C15orf41	chr15	2.37193566575773	2.55908379165319
C15orf48	chr15	6.92636774989716	1.41434800493624
C15orf52	chr15	4.30141740627898	0.820823950192078
C15orf53	chr15	1.84292945382464	1.0327068068387
C15orf54	chr15	2.93876836948915	0.457376423436605
C15orf56	chr15	29.6341261261261	0.726126126126126
C15orf57	chr15	2.22480847835132	3.94539491396823
C15orf59	chr15	6.89541217122937	0.777106945784835
C15orf59-AS1	chr15	6.17161587119034	0.543415756181714
C15orf61	chr15	2.73008915304606	2.48012630014859
C15orf62	chr15	2.29019294172731	5.96197740884528
C15orf65	chr15	3.37635392436709	1.21780704523928
C2CD4A	chr15	14.2132902369482	1.05035148952905
C2CD4B	chr15	14.8311982570806	0.390704429920116
CA12	chr15	7.64591539279127	0.839123083976784
CALML4	chr15	1.69572633951689	5.66320428076802
CAPN3	chr15	2.50816205894791	2.3516112677478
CASC4	chr15	2.22852998747782	3.86893069725865
CATSPER2	chr15	2.61820011758727	1.56077169136331
CATSPER2P1	chr15	3.15520884809978	2.31301094246382
CCDC33	chr15	8.05355025337838	0.881461148648649
CCNB2	chr15	2.53545271016959	8.41748485889914
CCNDBP1	chr15	2.06763877860391	5.39129141702158
CCPG1	chr15	2.08527131782946	3.7681332495286
CD276	chr15	5.96454722396332	1.03839804704252
CDAN1	chr15	1.93046944198406	6.91777679362267
CELF6	chr15	3.67898698224852	1.15215621301775
CEMIP	chr15	7.93538800721317	1.22167184888298
CEP152	chr15	2.51646298710705	5.94261915109373
CERS3	chr15	5.08361830523319	0.96024804028903
CERS3-AS1	chr15	4.6846990990991	1.08121621621622
CFAP161	chr15	7.0987412239826	0.736974215594905
CGNL1	chr15	7.90614269233105	0.951806424190904
CHAC1	chr15	5.34105613305613	2.19512681912682
CHD2	chr15	2.1384426085428	9.48284450694322
CHEK2P2	chr15	3.07583569128695	1.45809347253391
CHP1	chr15	1.94112102292488	3.95624308482354
CHRFAM7A	chr15	5.86662519122897	0.992707802141764
CHRM5	chr15	2.77664146429056	1.93940965078972
CHRNA3	chr15	4.20697007481297	1.78277520484503
CHRNA5	chr15	1.944507090381	2.46704254228601
CHRNA7	chr15	5.46856482594147	1.04473942060602
CHRNB4	chr15	6.75841939711664	0.800851900393185
CHST14	chr15	3.31505326734334	2.65917288818052
CHSY1	chr15	2.22540653323471	4.43457381627899
CIB1	chr15	3.71309165210595	1.87484600780901
CIB2	chr15	2.33981316070868	0.985894209774807
CILP	chr15	6.64392720778068	0.832479434881418
CKMT1A	chr15	12.3573397693752	0.744837758112094
CKMT1B	chr15	16.0857837635615	1.14160119715675
CLK3	chr15	2.66520720720721	6.69972481572482
CLN6	chr15	1.95496518690435	4.81771566836206
CLPX	chr15	2.04160377723596	6.93400157384832
COMMD4	chr15	3.04599118942731	4.48154674498287
COPS2	chr15	2.29188189644719	5.97666424154238
CORO2B	chr15	9.11464354483239	0.913803503073889
COX5A	chr15	1.76978046926788	7.09499481585983
CPEB1	chr15	8.21872648756937	1.33160405789836
CPEB1-AS1	chr15	7.454950615537	1.01471855101174
CPLX3	chr15	13.1696805896806	0.780589680589681
CRABP1	chr15	12.1858177765394	0.763583170799666
CRAT37	chr15	5.62254402102497	0.906504599211564
CRTC3	chr15	1.85290691540196	4.79377927290799
CRTC3-AS1	chr15	2.21488269477002	3.15378114842904
CSK	chr15	2.00322822822823	6.0979024024024
CSNK1A1P1	chr15	2.64450284087928	2.55201842006393
CSNK1G1	chr15	2.26082994899887	4.31654632602947
CSPG4	chr15	4.55052813471991	0.912972446511043
CT62	chr15	4.56535679052943	0.844431656253425
CTDSPL2	chr15	2.2757276644919	6.07585670606929
CTSH	chr15	1.7001404001404	7.61583573183573
CTXN2	chr15	7.14340658355009	0.8985666875953
CXADRP2	chr15	5.38034398034398	1.14496314496314
CYFIP1	chr15	1.96792531238798	4.92601900816222
CYP11A1	chr15	9.28534806663657	1.12534339870982
CYP19A1	chr15	9.4181034564059	1.03380959117273
CYP1A1	chr15	7.4078799358881	0.798630336587498
CYP1A2	chr15	5.88197958898364	0.803774640011184
DAPK2	chr15	2.59387915117485	3.05103700331335
DCAF13P3	chr15	2.77258110014104	5.87266572637518
DDX11L9	chr15	3.36464746299582	2.54583993236243
DENND4A	chr15	1.98694953278885	5.53447110136706
DET1	chr15	2.38208512740877	2.60738994376603
DIS3L	chr15	2.14023271533411	5.51660872923909
DISP2	chr15	7.99732295253781	0.821904476718072
DKFZP434L187	chr15	6.41875189772273	0.785089892129445
DLL4	chr15	7.42798130628063	0.758577453550667
DMXL2	chr15	2.42012181028277	2.6057730575598
DNAJA4	chr15	3.2363793823946	2.77103672314782
DNAJC17	chr15	1.95197059840173	4.81467081151982
DNM1P35	chr15	4.79409767141009	0.922574385510996
DNM1P41	chr15	3.26334872979215	1.21131639722864
DNM1P46	chr15	3.61734447174447	1.93215135135135
DPH6	chr15	2.50587349104203	2.10782339915713
DPH6-AS1	chr15	4.46378623101438	1.16405277754185
DPP8	chr15	2.25216586794462	7.99566493610224
DRAIC	chr15	9.86246943063481	1.05787225736822
DTWD1	chr15	2.33269681837434	4.48840925835626
DUOX1	chr15	5.30514794008824	1.24477931805398
DUOX2	chr15	11.4600340052482	1.04738375807133
DUOXA1	chr15	11.2057806234326	0.683734538361824
DUOXA2	chr15	16.3680076367108	0.710486840310923
DUT	chr15	1.99346274451247	6.65254292967
DYX1C1	chr15	3.64321647462613	1.12722072403367
DYX1C1-CCPG1	chr15	2.9517635760923	2.32904162752617
EDC3	chr15	1.97381954887218	4.99882706766917
EFL1	chr15	2.84868224137116	4.57536067045795
EFTUD1P1	chr15	5.28910861320491	2.72461814914645
EHD4	chr15	2.01692832764505	7.40244033554614
EHD4-AS1	chr15	1.84427656115521	6.30741512862198
EID1	chr15	3.53277386717907	2.96896139291386
EIF2AK4	chr15	2.20178344678779	5.61932041893814
EIF3J	chr15	2.28110317730175	6.14863425138842
EIF3J-AS1	chr15	2.8918392488513	2.39538523007258
ELL3	chr15	1.70217531213798	5.94994636804394
EMC4	chr15	2.12512449071978	5.67836124943413
EMC7	chr15	1.78505630630631	4.64380630630631
EPB42	chr15	5.83356449927864	1.43734142579971
ETFA	chr15	2.18576170976854	5.80612915234195
EWSAT1	chr15	9.03273315515544	0.712195808130539
EXD1	chr15	5.26420045731281	1.15474280347289
FAH	chr15	2.1336118245191	4.26788510928246
FAM103A1	chr15	2.38533737024221	4.64556228373702
FAM138E	chr15	12.4357533375715	0.568976478067387
FAM169B	chr15	5.00235765535901	1.00576878949261
FAM174B	chr15	2.5276631308261	3.46090646094503
FAM189A1	chr15	3.97872213000705	1.03098732765586
FAM214A	chr15	2.14309075533869	5.54016582264947
FAM219B	chr15	1.830062557924	5.33885542168675
FAM227B	chr15	4.13124590785347	1.26502033150694
FAM63B	chr15	2.11665789899077	3.53336560087234
FAM81A	chr15	2.36442925084074	2.20347668179047
FAM96A	chr15	1.80115703033587	5.09227475764309
FAM98B	chr15	2.46053213786679	5.30733348858873
FAN1	chr15	1.9767761355511	5.9570381717277
FANCI	chr15	2.30505737823385	7.06884058389941
FBN1	chr15	2.4159035195662	3.05198402341426
FBXL22	chr15	1.99884025684707	1.85250950072074
FBXO22	chr15	2.13783978138933	5.90301164964763
FBXO22-AS1	chr15	1.31841634738186	7.33302681992337
FEM1B	chr15	2.70316701523753	5.48531022806493
FES	chr15	2.98221253052434	3.46028906890617
FGF7	chr15	5.43473647185145	1.088916452228
FLJ10038	chr15	2.41641931194424	2.95029588036224
FMN1	chr15	8.0617935367377	1.03551949738427
FOXB1	chr15	29.1155518211376	1.61838307821576
FRMD5	chr15	5.30549606942464	1.40698259367812
FSD2	chr15	4.93684036705905	2.9719298907787
FSIP1	chr15	5.67234896401309	1.09469515753485
FURIN	chr15	2.23802856342761	4.71924110893307
GABARAPL3	chr15	5.42408376963351	0.897469458987784
GABPB1	chr15	2.20238242737569	4.45786998324856
GABPB1-AS1	chr15	1.69308943089431	1.86497096399535
GABRA5	chr15	2.59018778992587	1.12675447101114
GABRB3	chr15	2.54682417371779	1.08376461567951
GABRG3	chr15	2.57708691958184	1.08205505891914
GABRG3-AS1	chr15	2.22026109660574	1.0585602387169
GALK2	chr15	2.45093858662467	3.37544750457949
GANC	chr15	2.13603544796701	4.85720612633343
GATM	chr15	2.15892802135743	2.91722435568333
GCHFR	chr15	1.50350940665702	2.32127351664255
GCNT3	chr15	4.86039856923863	0.887305058763413
GCOM1	chr15	8.03188492045043	1.75201807649033
GDPGP1	chr15	1.30782301666115	3.04352201257862
GJD2	chr15	11.4911455940052	0.656127390336149
GLCE	chr15	4.70350814476012	1.27518132798224
GLDN	chr15	9.21931930967112	0.82468251383914
GNB5	chr15	2.43766237336596	2.90839335706791
GOLGA2P10	chr15	3.95258212306454	1.53035341146543
GOLGA2P11	chr15	5.5017264573991	0.423766816143498
GOLGA2P7	chr15	4.72883054483054	1.5972972972973
GOLGA6A	chr15	8.2253369173661	0.756502154686367
GOLGA6B	chr15	10.3803024253918	0.962130285790332
GOLGA6C	chr15	9.72698785617906	0.885070243670133
GOLGA6D	chr15	11.0088033989201	1.20021304470266
GOLGA6L1	chr15	5.56377340488968	0.811720930232558
GOLGA6L10	chr15	4.59680410337345	1.70578023278753
GOLGA6L17P	chr15	4.56657606510446	1.71946218054908
GOLGA6L2	chr15	4.45453317017874	0.886777721891492
GOLGA6L22	chr15	6.28857192772287	0.959905660377358
GOLGA6L3	chr15	3.69766486486487	1.32810810810811
GOLGA6L6	chr15	5.98543488943489	0.823095823095823
GOLGA6L7P	chr15	6.99149574787394	1.51275637818909
GOLGA6L9	chr15	4.46026719402329	1.7982201713909
GOLGA8A	chr15	2.18048417518905	6.64609735416775
GOLGA8B	chr15	2.27898333565051	5.89024319666008
GOLGA8CP	chr15	5.26578697232318	0.862046407604138
GOLGA8DP	chr15	7.44430653933721	1.30952757399443
GOLGA8EP	chr15	7.4596909027046	1.2989181594661
GOLGA8F	chr15	6.24175941244297	0.858681756655136
GOLGA8G	chr15	6.18450199023995	0.796939303303573
GOLGA8H	chr15	4.27683765203596	1.66099418297197
GOLGA8K	chr15	5.41482078131293	1.59846959323399
GOLGA8M	chr15	5.11060375443937	1.11633688483004
GOLGA8O	chr15	4.96744925946242	0.985803620405924
GOLGA8S	chr15	5.00639279279279	1.08578738738739
GOLGA8T	chr15	5.69939768339768	1.66640926640927
GPR176	chr15	6.900811591688	0.974083553858835
GRAMD2	chr15	6.72899310516181	0.940244735697869
GREM1	chr15	12.5560173473076	0.909830140946874
GTF2A2	chr15	2.02948199405487	5.99798255445641
HACD3	chr15	2.01858810660902	4.46539599419499
HAPLN3	chr15	3.95346840521565	1.63029087261785
HAUS2	chr15	2.29282714597682	6.34973962707878
HCN4	chr15	8.89400476123792	0.893656350651169
HDC	chr15	4.44636870677475	0.976834981780323
HDDC3	chr15	2.75713729308666	1.25382667964946
HDGFRP3	chr15	2.61639367950139	4.06535365073875
HERC1	chr15	2.24533091194969	6.30129229120369
HERC2	chr15	2.23955152094283	6.38657429526995
HERC2P10	chr15	4.11541799485861	1.5950766066838
HERC2P2	chr15	2.34999136122424	5.03076638282118
HERC2P3	chr15	2.31500527151323	3.78448599716429
HERC2P7	chr15	3.40483958673192	3.30973355084285
HERC2P9	chr15	2.01196617212256	5.28238268588659
HEXA	chr15	2.21029150733236	6.27996497623387
HEXA-AS1	chr15	3.18970641656484	1.9327300947789
HIGD2B	chr15	4.95472834838771	0.953721347124621
HMG20A	chr15	2.36992428176751	5.17805063664544
HMGN2P46	chr15	5.71693458302371	0.895179423256706
HOMER2	chr15	8.58832267350493	1.0908829818546
HSP90AB4P	chr15	2.23454269106266	6.96255902725406
HSP90B2P	chr15	2.16387267904509	4.20888063660477
HYKK	chr15	3.83962949538883	1.17977528089888
HYPK	chr15	1.42771279573377	5.20550366812999
ICE2	chr15	2.47963693476514	5.76979837825992
IDH2	chr15	1.66374272946586	4.41913125179297
IDH3A	chr15	2.2297581013236	7.32495298950251
IGDCC3	chr15	9.36258075092598	0.968242665177588
IGDCC4	chr15	7.91339106087317	1.08999896297833
IGF1R	chr15	5.34532764515825	1.15019806141974
IGHV1OR15-1	chr15	1.2420443587271	0.296046287367406
IGHV1OR15-3	chr15	2.04525916561315	0.47787610619469
IL16	chr15	5.64854094401756	2.38714906695939
IMP3	chr15	1.68088451759668	1.20378362103573
INAFM2	chr15	5.41249835201055	2.24027686222808
INO80	chr15	2.06728087177629	7.04145207831792
IPW	chr15	2.96012971834	4.31593329711755
IQCH	chr15	4.99558705899535	1.3395216855491
IQCH-AS1	chr15	2.97013510371729	1.91805946630157
IQGAP1	chr15	2.08350304347219	6.46832114369886
IRAIN	chr15	15.1669771031644	0.62876254180602
IREB2	chr15	2.16471590399617	7.13941776010999
ISG20	chr15	1.93986415232755	5.07264477209162
ISL2	chr15	19.2414893166914	1.59932303786757
ISLR	chr15	5.0617704620116	1.01654784371287
ISLR2	chr15	43.8651653678591	1.15972264834019
ITGA11	chr15	7.51535399242587	0.941177963869682
ITPKA	chr15	13.3709564258136	1.04247104247104
IVD	chr15	2.01019564685742	5.70890437759843
JMJD7	chr15	2.04749749293463	2.32734068739174
JMJD7-PLA2G4B	chr15	2.04964887443733	3.04393217534084
KATNBL1	chr15	2.40314680257585	4.24110954233961
KBTBD13	chr15	7.49122550647625	0.698106941215543
KIAA0101	chr15	2.41751540398841	4.10636728358047
KIAA1024	chr15	7.45419423819424	1.16736441936442
KIF23	chr15	2.30640540376073	7.56870321913223
KIF7	chr15	4.99026299885606	3.72273423841488
KLF13	chr15	3.12494184590058	3.51546899044483
KLHL25	chr15	2.43071852340145	2.05520764667106
KNL1	chr15	2.27787170023208	6.41127227119244
KNSTRN	chr15	1.80599220744324	5.33099556630391
LACTB	chr15	2.32439706230751	4.15298507462687
LARP6	chr15	7.40736773808175	1.32946786269684
LCMT2	chr15	2.47381042398056	4.0105320010802
LCTL	chr15	2.88533919958969	3.35750589354846
LDHAL6B	chr15	1.70784959279154	8.70058915265985
LEO1	chr15	2.36878244335033	8.22008392147004
LINC00593	chr15	7.22418528049408	0.585589294904786
LINC00597	chr15	2.05352870319951	1.35084071745623
LINC00923	chr15	2.70805537171851	0.984266122509008
LINC00924	chr15	3.28327536679537	1.00983227799228
LINC00926	chr15	3.37895421141888	3.71613906161673
LINC00927	chr15	7.63544127054766	1.00143242566684
LINC00928	chr15	7.84957846556357	1.05149502132502
LINC00929	chr15	3.02789841474094	1.57069326041499
LINC00930	chr15	9.07988119716701	1.08658898789125
LINC00933	chr15	8.23596046206979	1.09479576039062
LINC01169	chr15	6.03255764454233	0.932969529485438
LINC01193	chr15	4.29215790405381	1.02959815896619
LINC01197	chr15	3.91360345484568	0.891457929107338
LINC01314	chr15	8.2315172568355	0.968251904975347
LINC01413	chr15	2.06691954022989	0.760344827586207
LINC01491	chr15	5.97227926587302	0.925419973544974
LINC01578	chr15	2.41896605744125	8.68261096605744
LINC01580	chr15	4.96383371169126	0.917347900113507
LINC01581	chr15	5.25258584442887	0.92017752861481
LINC01582	chr15	5.07533450087566	2.12539404553415
LINC01583	chr15	6.22238101314279	0.950874058951129
LINC01584	chr15	5.84868007542426	0.914680075424261
LINC01585	chr15	3.2691798695247	3.6483504193849
LINC01586	chr15	6.78217651736019	0.864139941690962
LINGO1	chr15	9.25171032980895	0.821850809498593
LINGO1-AS1	chr15	10.2948571428571	0.757528957528958
LINGO1-AS2	chr15	9.84620391031771	0.652826479651472
LINS1	chr15	2.45228375674407	4.23055863102635
LIPC	chr15	3.28204444088348	1.14164196244959
LIPC-AS1	chr15	2.66039336801927	1.15284822127701
LMAN1L	chr15	5.82023374726077	0.662673484295106
LOC100128108	chr15	2.41695914711238	2.02677965605276
LOC100128714	chr15	2.87037808475393	1.02854412013626
LOC100129973	chr15	3.85188866478419	1.30972166196047
LOC100130111	chr15	8.74386694386694	1.55050311850312
LOC100131315	chr15	46.6250810810811	1.02162162162162
LOC100288637	chr15	2.75950978351688	4.68825736666999
LOC100289656	chr15	15.5849930936149	1.4730650982489
LOC100419583	chr15	2.37550585092598	6.42217371369336
LOC100422556	chr15	1.79063398026344	8.32656346123054
LOC100996255	chr15	6.97776984255803	0.967213114754098
LOC101926911	chr15	3.21310806874454	1.45765219924264
LOC101927079	chr15	4.29100379279246	0.827261159087259
LOC101927153	chr15	5.55890766552791	1.09220424623105
LOC101927286	chr15	2.57241133410767	1.07082466708085
LOC101927310	chr15	2.95541828450406	1.33427462054359
LOC101927751	chr15	6.21104999657088	1.34709553528565
LOC101928042	chr15	5.05037044743027	1.89758810927143
LOC101928134	chr15	9.94208083649937	0.650192177756117
LOC101928174	chr15	8.65291393782861	0.906566552901024
LOC101928227	chr15	4.03380913166804	1.03550187574343
LOC101928414	chr15	3.2231729131763	1.26745310710908
LOC101928725	chr15	2.23454625164402	1.05743095133713
LOC101928907	chr15	6.0209051290647	0.506872276231981
LOC101928988	chr15	2.2771679197995	2.78284210526316
LOC101929076	chr15	9.51056926867097	0.445602688345054
LOC101929151	chr15	8.80810427849226	0.865259915703015
LOC101929439	chr15	10.1643535089948	1.18251044962243
LOC101929457	chr15	4.19889541715629	0.92510928319624
LOC101929586	chr15	8.69345761806959	1.26230544190633
LOC101929679	chr15	2.27704061117813	3.80458383594692
LOC102723335	chr15	1.27903091060986	1.61737677527151
LOC102723344	chr15	5.33276402886455	0.818625682682901
LOC102723481	chr15	4.91824190398998	0.825332498250009
LOC102723493	chr15	4.88665317299679	1.02537206810335
LOC102723640	chr15	4.16201961961962	0.947387387387387
LOC102724034	chr15	18.0080279232112	0.897033158813264
LOC102724452	chr15	3.10249949821657	1.28069709212295
LOC102724760	chr15	1.2420443587271	0.296046287367406
LOC102725022	chr15	1.84352614248952	5.11819890642997
LOC103171574	chr15	9.12113513513514	0.810810810810811
LOC105370757	chr15	3.26541822721598	3.03414065751144
LOC105370792	chr15	2.7891105724408	2.77320156628753
LOC105370802	chr15	4.01196968193192	0.997142663121549
LOC105370829	chr15	3.34886194255328	0.934942593562422
LOC105370888	chr15	5.1261053859615	1.30036554540152
LOC105370941	chr15	3.27142610298353	3.22886188227163
LOC105370943	chr15	2.79379806084921	1.21510364426613
LOC105370954	chr15	3.03900974453516	1.11944166447195
LOC105376731	chr15	7.81548108108108	0.766216216216216
