#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	score	name2	cdsStartStat	cdsEndStat
0	NM_001195025	chr1	+	134212701	134230065	134212806	134228958	8	0	Nuak2	cmpl	cmpl
0	NM_028778	chr1	+	134212701	134230065	134212806	134228958	7	0	Nuak2	cmpl	cmpl
1	NM_001290390	chr1	-	8349819	9289958	8353555	8794024	21	0	Sntg1	cmpl	cmpl
1	NM_001290392	chr1	-	8349819	9289958	8353555	8573339	18	0	Sntg1	cmpl	cmpl
1	NM_001290393	chr1	-	8349819	9289958	8353555	8794024	20	0	Sntg1	cmpl	cmpl
1	NM_027671	chr1	-	8349819	9289958	8353555	8794024	21	0	Sntg1	cmpl	cmpl
1	NM_175642	chr1	-	25124320	25886552	25125012	25883605	31	0	Adgrb3	cmpl	cmpl
1	NM_008922	chr1	-	33510652	33726639	33510930	33725856	14	0	Prim2	cmpl	cmpl
1	NM_175370	chr1	-	58714964	58752833	58715267	58749257	15	0	Als2cr12	cmpl	cmpl
2	NM_178884	chr1	-	75482399	75503027	75482526	75502799	20	0	Obsl1	cmpl	cmpl
2	NM_001310679	chr1	-	75492912	75503027	75493074	75502799	9	0	Obsl1	cmpl	cmpl
2	NM_198680	chr1	-	109050537	109057691	109050945	109056354	8	0	Serpinb3b	cmpl	cmpl
2	NM_199021	chr1	-	125228714	125942136	125230825	125942020	26	0	Dpp10	cmpl	cmpl
3	NM_001113391	chr1	+	167718811	167792243	167718959	167791200	8	0	Cd247	cmpl	cmpl
3	NM_031162	chr1	+	167718811	167797567	167718959	167796977	8	0	Cd247	cmpl	cmpl
3	NM_001113392	chr1	+	167718811	167801284	167718959	167799253	8	0	Cd247	cmpl	cmpl
3	NM_001113393	chr1	+	167718811	167801284	167718959	167799195	9	0	Cd247	cmpl	cmpl
3	NR_103716	chr1	+	167718811	167801284	167801284	167801284	9	0	Cd247	unk	unk
3	NM_011465	chr1	+	176102906	176178580	176103071	176177588	52	0	Spta1	cmpl	cmpl
3	NM_130890	chr1	+	184495137	184562483	184495191	184562238	21	0	Capn8	cmpl	cmpl
10	NM_001289497	chr1	-	10314799	10710026	10315204	10471100	10	0	Cpa6	cmpl	cmpl
10	NM_177834	chr1	-	10314799	10710026	10315204	10709808	11	0	Cpa6	cmpl	cmpl
10	NM_001160370	chr1	+	11404185	11591902	11404649	11586415	7	0	A830018L16Rik	cmpl	cmpl
10	NM_001160371	chr1	+	11404185	11591902	11404649	11587065	8	0	A830018L16Rik	cmpl	cmpl
10	NM_001160369	chr1	+	11404185	11965983	11404649	11965047	14	0	A830018L16Rik	cmpl	cmpl
10	NM_001310451	chr1	+	11404185	11965983	11404649	11965047	13	0	A830018L16Rik	cmpl	cmpl
10	NM_177173	chr1	+	11404185	11965983	11404649	11965047	14	0	A830018L16Rik	cmpl	cmpl
10	NM_145381	chr1	-	13615979	13650590	13616941	13650531	7	0	Lactb2	cmpl	cmpl
11	NM_027974	chr1	+	20941706	20980922	20941814	20980769	11	0	Efhc1	cmpl	cmpl
12	NM_133235	chr1	+	32229650	32714583	32229762	32714386	9	0	Khdrbs2	cmpl	cmpl
13	NM_001126046	chr1	-	36619540	36740028	36619832	36717792	15	0	Fam178b	cmpl	cmpl
13	NM_201365	chr1	-	36656818	36740028	36656921	36717792	10	0	Fam178b	cmpl	cmpl
13	NM_028096	chr1	-	37668520	37776656	37669101	37701475	10	0	2010300C02Rik	cmpl	cmpl
13	NM_001081198	chr1	+	40862445	40912112	40862600	40911861	5	0	Tmem182	cmpl	cmpl
14	NM_001310540	chr1	+	43990838	44059845	43990933	44059038	29	0	Tpp2	cmpl	cmpl
14	NM_009418	chr1	+	43990838	44059845	43990933	44059038	30	0	Tpp2	cmpl	cmpl
14	NM_001160386	chr1	+	46123582	46430395	46123582	46430284	66	0	Dnah7b	cmpl	cmpl
15	NR_045151	chr1	-	51275229	51390623	51390623	51390623	5	0	9330175M20Rik	unk	unk
15	NM_001252070	chr1	-	53453845	53763628	53453950	53763536	66	0	Dnah7a	cmpl	cmpl
15	NM_001114663	chr1	+	55462789	55811129	55463231	55808307	6	0	Plcl1	cmpl	cmpl
16	NM_001081050	chr1	+	61685397	62688858	61685816	62684497	23	0	Pard3b	cmpl	cmpl
16	NM_007642	chr1	+	60803231	60830203	60803317	60826629	4	0	Cd28	cmpl	cmpl
17	NM_010154	chr1	-	68078760	69154633	68086614	69154330	27	0	Erbb4	cmpl	cmpl
17	NM_029160	chr1	+	69873543	70771706	69873577	70771516	17	0	Spag16	cmpl	cmpl
17	NM_025728	chr1	+	69998188	70771706	70043375	70771516	8	0	Spag16	cmpl	cmpl
17	NM_175210	chr1	-	71289663	71461484	71289870	71461156	53	0	Abca12	cmpl	cmpl
18	NM_175291	chr1	-	80497642	80755128	80498281	80755023	56	0	Dock10	cmpl	cmpl
18	NM_001310713	chr1	+	82836034	82897576	82836297	82891633	12	0	Agfg1	cmpl	cmpl
18	NM_010472	chr1	+	82836034	82897576	82836297	82891633	13	0	Agfg1	cmpl	cmpl
19	NM_027456	chr1	+	88051354	88149066	88053529	88148971	21	0	Armc9	cmpl	cmpl
19	NM_001310702	chr1	+	88051354	88174859	88053529	88172257	25	0	Armc9	cmpl	cmpl
19	NM_030184	chr1	+	88051354	88174859	88053529	88172257	25	0	Armc9	cmpl	cmpl
19	NM_023314	chr1	+	89110488	89137063	89110574	89134460	7	0	Eif4e2	cmpl	cmpl
20	NM_011066	chr1	-	93312558	93355905	93314447	93347402	23	0	Per2	cmpl	cmpl
20	NM_145519	chr1	+	95408680	95518553	95425173	95517948	27	0	Farp2	cmpl	cmpl
20	NM_009183	chr1	-	97484258	97564171	97488258	97563838	5	0	St8sia4	cmpl	cmpl
20	NM_173760	chr1	-	99602619	99666669	99604294	99658133	28	0	Ppip5k2	cmpl	cmpl
21	NM_172851	chr1	+	101669341	102382519	101669341	102381278	24	0	Cntnap5b	cmpl	cmpl
23	NM_019933	chr1	-	121554669	121733648	121556407	121699037	27	0	Ptpn4	cmpl	cmpl
24	NM_172484	chr1	-	127810212	128389504	127811319	128345033	15	0	Nckap5	cmpl	cmpl
24	NM_001081756	chr1	-	127810212	128727209	127811319	128592331	17	0	Nckap5	cmpl	cmpl
24	NM_176957	chr1	-	127810212	128727209	127811581	128592331	13	0	Nckap5	cmpl	cmpl
24	NM_181750	chr1	+	129999882	130134312	130049805	130133335	27	0	R3hdm1	cmpl	cmpl
24	NM_019777	chr1	-	133151178	133176140	133151881	133173131	22	0	Ikbke	cmpl	cmpl
25	NM_175443	chr1	+	135260148	135276895	135260340	135275966	8	0	Etnk2	cmpl	cmpl
25	NM_028320	chr1	+	136311954	136329927	136319591	136328235	8	0	Adipor1	cmpl	cmpl
25	NM_001306069	chr1	+	136312240	136329927	136319591	136328235	8	0	Adipor1	cmpl	cmpl
25	NM_173437	chr1	-	137331156	137481932	137338260	137481897	29	0	Nav1	cmpl	cmpl
25	NM_001287179	chr1	+	138364424	138427396	138364534	138424193	29	0	Kif14	cmpl	cmpl
25	NM_001311148	chr1	-	140380413	140516334	140383670	140458336	8	0	Nek7	cmpl	cmpl
25	NM_021605	chr1	-	140380413	140516334	140383576	140458336	10	0	Nek7	cmpl	cmpl
28	NM_001205204	chr1	+	160292434	160621917	160292713	160618881	23	0	Astn1	cmpl	cmpl
28	NM_007495	chr1	+	160292434	160621917	160292713	160618881	23	0	Astn1	cmpl	cmpl
28	NM_022312	chr1	+	161453899	161855053	161780177	161854344	23	0	Tnr	cmpl	cmpl
28	NM_013862	chr1	-	162186702	162723069	162187382	162671020	21	0	Rabgap1l	cmpl	cmpl
28	NM_001081290	chr1	-	164601915	164670687	164603532	164654946	35	0	Prrc2c	cmpl	cmpl
29	NM_022563	chr1	-	171902437	172019075	171907985	171966125	17	0	Ddr2	cmpl	cmpl
29	NM_001159525	chr1	+	174056885	174066628	174056909	174064421	6	0	Pex19	cmpl	cmpl
29	NM_023041	chr1	+	174056885	174066628	174056909	174064421	8	0	Pex19	cmpl	cmpl
30	NM_001199003	chr1	-	176989206	177422676	176996771	177421261	18	0	Rgs7	cmpl	cmpl
30	NM_011880	chr1	-	176989206	177422676	176989874	177421261	17	0	Rgs7	cmpl	cmpl
30	NM_026626	chr1	+	180336011	180413380	180336233	180411559	7	0	Efcab2	cmpl	cmpl
30	NM_027188	chr1	-	180885169	181448134	180887591	181448082	12	0	Smyd3	cmpl	cmpl
31	NM_133684	chr1	-	186636946	186669726	186643099	186669696	8	0	Marc2	cmpl	cmpl
31	NM_001243792	chr1	+	189432884	190038763	189867225	190035018	8	0	Esrrg	cmpl	cmpl
76	NM_001011874	chr1	-	3204562	3661579	3206102	3661429	3	0	Xkr4	cmpl	cmpl
77	NM_001195662	chr1	-	4280926	4399322	4283061	4399268	4	0	Rp1	cmpl	cmpl
