chrom	start	end	size	num_data	min	max	mean	median	sum	name	norm_sum	percentile
chr15	67493013	67547537	54524	52111	0.04	18.6	5.02	4.04	261384.72	AAGAB	4.37442588579771	0.699766355140187
chr15	80987652	81047963	60311	53561	0.04	10	2.6	2	139326.68	ABHD17C	2.30311067030333	0.536214953271028
chr15	89631381	89745592	114211	110661	0.04	16.52	5.04	4.52	557844.24	ABHD2	4.10288193933688	0.676401869158878
chr15	89346674	89418586	71912	39925	0.04	5	1.46	1	58401	ACAN	0.912415829518646	0.172897196261682
chr15	78463187	78527050	63863	41463	0.04	29.28	2.32	1.04	96144.08	ACSBG1	1.6107752167602	0.463785046728972
chr15	35080297	35087928	7631	4281	0.04	4.44	1.4	1	5985	ACTC1	0.815061963775024	0.106308411214953
chr15	83394650	83408533	13883	11959	0.04	13	2.97	2.28	35539.92	ACTG1P17	2.95329233837461	0.593457943925234
chr15	43622554	43646754	24200	22975	0.04	19	5.45	5	125279.2	ADAL	4.62137532535752	0.726635514018692
chr15	58887403	59042178	154775	150100	0.04	20.8	5.38	5	806993	ADAM10	5.00246592094771	0.760514018691589
chr15	100511643	100882211	370568	208037	0.04	7.64	1.42	1	296139	ADAMTS17	0.967233364862534	0.216121495327103
chr15	79051545	79103806	52261	27579	0.04	6.52	1.36	1	37481	ADAMTS7	0.929869653020011	0.188084112149533
chr15	82882946	82924243	41297	16919	0.04	3	1.19	1	20064	ADAMTS7P1	1.03561474140601	0.285046728971963
chr15	84322838	84708594	385756	252720	0.04	9.32	1.73	1.24	436724	ADAMTSL3	1.1809255979341	0.373831775700935
chr15	73043708	73076127	32419	31966	0.08	21.16	8.67	8.48	277186	ADPGK	9.04579649454418	0.983644859813084
chr15	73075176	73090541	15365	9298	0.04	5.8	1.7	1.68	15845.4	ADPGK-AS1	1.05858443876733	0.300233644859813
chr15	89164527	89175513	10986	10514	0.2	23.88	9.45	9.48	99373.16	AEN	8.86943591574438	0.981308411214953
chr15	86623039	87572284	949245	538195	0.04	10	1.46	1	787368	AGBL1	1.04719835258923	0.292056074766355
chr15	86840065	86860200	20135	11609	0.04	5	1.35	1	15641	AGBL1-AS1	1.02375965440503	0.269859813084112
chr15	85923847	86292590	368743	352041	0.04	32.2	5.59	4.72	1968347.24	AKAP13	4.76779794691432	0.742990654205608
chr15	58245622	58358122	112500	67152	0.04	8	1.48	1	99254	ALDH1A2	1.03339076359762	0.280373831775701
chr15	101419897	101456831	36934	23482	0.04	11.8	1.77	1.16	41596.56	ALDH1A3	1.13448463955315	0.348130841121495
chr15	85359911	85416714	56803	31600	0.04	5.76	1.44	1	45360	ALPK3	0.876577298039373	0.143691588785047
chr15	65204101	65251042	46941	37366	0.04	20.64	2.68	2	100135.2	ANKDD1A	2.23845844324228	0.52803738317757
chr15	79575146	79590582	15436	8075	0.08	5.68	1.52	1	12285	ANKRD34C	0.897370343316289	0.161214953271028
chr15	79484049	79576288	92239	51550	0.04	7	1.48	1	76545	ANKRD34C-AS1	0.880708294501398	0.146028037383178
chr15	40570573	40574788	4215	2501	0.08	3.16	1.39	1	3464	ANKRD63	0.948978697291137	0.202102803738318
chr15	69070875	69113262	42387	40737	0.04	28.32	7.44	7	303262.96	ANP32A	6.69085405405405	0.894859813084112
chr15	69096160	69099441	3281	3281	1	14.4	6.72	6.6	22058.32	ANP32A-IT1	5.39893481623622	0.795560747663551
chr15	35529527	35530265	738	588	0.08	3	1.97	2	1159.16	ANP32AP1	2.08857657657658	0.519859813084112
chr15	90328126	90358073	29947	15100	0.04	5	1.3	1	19656	ANPEP	0.842943819183919	0.122663551401869
chr15	60639350	60690186	50836	48186	0.04	20.52	6.82	6.32	328792.92	ANXA2	6.12596735728126	0.857476635514019
chr15	83328033	83378661	50628	26666	0.04	4	1.24	1	33176	AP3B2	0.906819734864015	0.169392523364486
chr15	90373831	90437618	63787	57912	0.04	19.96	4.99	4.48	288987	AP3S2	5.34340206231316	0.789719626168224
chr15	51200869	51298098	97229	93149	0.04	23.52	5.29	4.96	492852	AP4E1	5.3324948812152	0.787383177570093
chr15	29213840	29410517	196677	105009	0.04	5.84	1.4	1	146820	APBA2	0.893424367446785	0.156542056074766
chr15	63569749	63601326	31577	29352	0.04	13.48	3.47	3	101950	APH1B	2.87803781902605	0.586448598130841
chr15	58430368	58478111	47743	27168	0.04	5.84	1.44	1	39030.24	AQP9	0.778502842325721	0.0864485981308411
chr15	35148552	35261996	113444	110994	0.04	23.88	6.03	5.48	668812.72	AQR	6.9382511541055	0.908878504672897
chr15	32907345	32932151	24806	23902	0.04	22.04	7.43	7	177681.76	ARHGAP11A	6.94015155066011	0.911214953271028
chr15	30918879	30931014	12135	12035	0.12	25.04	7.43	6.6	89399.6	ARHGAP11B	6.80569427527406	0.90303738317757
chr15	74833518	74890473	56955	56224	0.24	26.8	8.91	8.84	500918.4	ARID3B	8.55885108863767	0.975467289719626
chr15	72766667	72878897	112230	109223	0.04	21.76	5.32	4.64	580649	ARIH1	5.53181334039598	0.80607476635514
chr15	80696692	80890278	193586	117804	0.04	7	1.5	1	176140.2	ARNT2	0.948060713709026	0.200934579439252
chr15	90439764	90456223	16459	9784	0.04	5	1.57	1	15356.52	ARPIN	0.987923500923815	0.242990654205607
chr15	52839242	52861644	22402	21552	0.04	22.36	6.55	6	141253.2	ARPP19	5.45568730446873	0.799065420560748
chr15	98503933	98517069	13136	7295	0.04	5	1.5	1.08	10975.6	ARRDC4	0.923638811747875	0.183411214953271
chr15	101142755	101191905	49150	47531	0.08	20.2	5.78	5	274814.28	ASB7	5.53770765324628	0.808411214953271
chr15	93338714	93340339	1625	1115	0.04	4	1.9	1.52	2115	ASB9P1	0.859183308688517	0.130841121495327
chr15	25923860	26108350	184490	110439	0.04	6	1.49	1	164685	ATP10A	1.11369215475442	0.339953271028037
chr15	50150435	50411420	260985	152164	0.04	7	1.43	1	216928	ATP8B4	0.986623853294462	0.240654205607477
chr15	34158428	34331304	172876	132821	0.04	14.48	2.12	2	281586.56	AVEN	1.90347926109032	0.496495327102804
chr15	45003685	45010358	6673	6473	0.12	32.6	13.44	12.24	86986.6	B2M	10.3909758987787	0.994158878504673
chr15	40731920	40760442	28522	25593	0.04	16.52	4.26	3.64	108926.32	BAHD1	4.07698054451406	0.674065420560748
chr15	72978520	73030818	52298	45019	0.04	20.68	3.58	2.52	161007.6	BBS4	3.07042341619398	0.606308411214953
chr15	80253232	80263644	10412	10287	0.2	14.92	4.17	3.68	42852.64	BCL2A1	2.98188295873634	0.59696261682243
chr15	52401466	52404973	3507	2508	0.24	5	2.07	2	5197.32	BCL2L10	1.17025128343691	0.369158878504673
chr15	91260558	91358693	98135	96019	0.04	21.28	6.05	5.52	581320.56	BLM	5.6072404440106	0.814252336448598
chr15	45879321	45901915	22594	19794	0.04	19.92	4.83	4.68	95596.32	BLOC1S6	4.63873355757977	0.730140186915888
chr15	40380091	40401086	20995	20270	0.12	15.96	6.12	5.72	124135.08	BMF	3.7563464618014	0.651869158878505
chr15	83924655	83953469	28814	18950	0.04	5	1.64	1.48	30996	BNC1	1.06717163022896	0.307242990654206
chr15	59951345	59981734	30389	30039	0.08	18.4	7.12	6.68	214019	BNIP2	6.74968462217737	0.899532710280374
chr15	83685181	83736107	50926	49926	0.04	21.76	7.1	6.72	354612.8	BTBD1	7.51696449390567	0.941588785046729
chr15	40453210	40513338	60128	59503	0.2	26.68	7.53	6.88	447977.84	BUB1B	7.898497871179	0.956775700934579
chr15	40509629	40569689	60060	41320	0.04	26.68	4.26	2	175975.6	BUB1B-PAK6	3.16033374878328	0.615654205607477
chr15	93014907	93044348	29441	15441	0.04	4.48	1.4	1	21599	C15orf32	0.807892276042641	0.102803738317757
chr15	90373831	90456223	82392	69167	0.04	19.96	4.43	3.92	306099.52	C15orf38-AP3S2	4.31101797081855	0.690420560747664
chr15	75494221	75504511	10290	9962	0.32	26.08	10.63	10.84	105912.68	C15orf39	10.8606111566858	0.996495327102804
chr15	83657715	83680394	22679	19504	0.08	17.44	4.26	3	83038.76	C15orf40	4.60456692913386	0.723130841121495
chr15	36871804	37102462	230658	198988	0.04	12.4	2.78	2.36	553708.96	C15orf41	2.55908379165319	0.56892523364486
chr15	45722727	45725648	2921	2074	0.12	4.72	1.66	1.08	3438.28	C15orf48	1.41434800493624	0.429906542056075
chr15	40623653	40633169	9516	4320	0.08	3.84	1.43	1	6196.4	C15orf52	0.820823950192078	0.108644859813084
chr15	38988799	38992240	3441	3091	0.04	6.6	1.89	1.6	5835	C15orf53	1.0327068068387	0.279205607476636
chr15	39542870	39547044	4174	2474	0.04	3	1.16	1	2875.8	C15orf54	0.457376423436605	0.022196261682243
chr15	40542866	40545111	2245	795	0.16	2	1.01	1	806	C15orf56	0.726126126126126	0.0642523364485981
chr15	40823540	40857257	33717	31684	0.04	20.32	5.09	4.28	161197	C15orf57	3.94539491396823	0.664719626168224
chr15	74027772	74044712	16940	8777	0.04	4	1.39	1	12207.2	C15orf59	0.777106945784835	0.0852803738317757
chr15	74060427	74062144	1717	800	0.04	3	1.18	1	945	C15orf59-AS1	0.543415756181714	0.0303738317757009
chr15	67813522	67819642	6120	4543	0.16	7.76	2.94	2.72	13353	C15orf61	2.48012630014859	0.560747663551402
chr15	41062159	41064649	2490	2490	1.08	11	4.91	4.52	12224.2	C15orf62	5.96197740884528	0.844626168224299
