name	chrom	h3k27me3_norm_sum	h3k36me3_norm_sum
ACP6	chr1	2.8508292166549	2.94657551164432
ANKRD20A12P	chr1	2.64957332573864	1.50443551364408
ANKRD34A	chr1	5.10512150550584	0.751726629629436
ANKRD35	chr1	12.6181995070697	0.908159294331301
BCL9	chr1	5.49525516605157	2.34214379221277
CD160	chr1	3.40687556718091	1.83745262371217
CHD1L	chr1	2.37233078814546	6.86571539499713
DRD5P2	chr1	13.4157625383828	2.27877175025589
FAM72C	chr1	2.50058909141313	5.23067988079562
FAM72D	chr1	2.4961336647335	5.22155481911074
FMO5	chr1	6.2866854054054	1.63180540540541
GJA5	chr1	9.32625135135135	0.940067567567568
GJA8	chr1	6.91703685041041	1.24912150424993
GNRHR2	chr1	3.15646846846847	5.93171171171171
GPR89A	chr1	2.49802521728928	5.67765823984404
GPR89B	chr1	2.26657611716654	5.91227010174735
HFE2	chr1	16.2563830821585	0.864365580943121
ITGA10	chr1	3.55859627339614	3.08714984437528
LINC00624	chr1	5.80654227818977	1.03899625824214
LINC01138	chr1	2.60150920411478	2.78779778018408
LIX1L	chr1	2.00998859862192	4.58611179960013
LOC100132057	chr1	2.44895792687126	2.16414755816711
LOC101060524	chr1	13.4157625383828	2.27877175025589
LOC101927429	chr1	5.67333410653633	0.998261618755696
LOC101927468	chr1	7.00326061395765	0.802393224337796
LOC101928979	chr1	6.88881886681671	1.18372834915354
LOC102723769	chr1	2.51047333056823	1.709158357528
LOC645166	chr1	5.34883705675242	1.42545208260562
LOC728989	chr1	10.4656455668306	1.70855580153666
MIR5087	chr1	5.42769376181474	0.00590737240075614
MIR6736	chr1	2.67796610169492	5.30440677966102
NBPF10	chr1	4.16396710964453	3.00383579585257
NBPF11	chr1	2.8591488844799	5.0586710936551
NBPF12	chr1	2.66000575043128	5.42824266820011
NBPF13P	chr1	7.02162429095762	1.08808808808809
NBPF14	chr1	2.77647535646669	5.51231003923526
NBPF15	chr1	2.39315458410936	5.58924131145237
NBPF20	chr1	5.43627310355224	2.13558730742883
NBPF25P	chr1	5.94271668539009	1.58901878369846
NBPF8	chr1	6.60408997532801	1.60509543619866
NBPF9	chr1	6.16536271060977	1.70910074200889
NOTCH2NL	chr1	5.58849372662865	1.60400241825741
NUDT17	chr1	1.38428246013667	2.80433712984055
PDE4DIP	chr1	5.41421169791235	1.80630670057366
PDIA3P1	chr1	9.901953125	4.94265625
PDZK1	chr1	3.06323864289822	1.95409890741806
PDZK1P1	chr1	4.20801537603075	3.21450802901606
PEX11B	chr1	1.80766519908856	5.46541053566601
PFN1P2	chr1	1.00864745011086	2.80388765705839
PIAS3	chr1	1.67064908734881	4.90457931156067
POLR3C	chr1	2.25932360187358	8.19760056869638
POLR3GL	chr1	2.23886418519444	2.64481971854442
PPIAL4D	chr1	13.1351764705882	0.555882352941176
PPIAL4E	chr1	13.1351764705882	0.555882352941176
PPIAL4F	chr1	13.1351764705882	0.555882352941176
PPIAL4G	chr1	10.9356260434057	1.89315525876461
PRKAB2	chr1	2.5036362711692	4.84646696841784
RBM8A	chr1	3.57612988152699	7.64784356466475
RNF115	chr1	2.37851418360509	4.66107303998213
RNVU1-8	chr1	6.31233777470151	0.406644748226337
SEC22B	chr1	7.58411642821652	2.81443468617296
TXNIP	chr1	2.34221946683199	3.26112833230006
