name	chrom	h3k27me3_percentile	h3k36me3_percentile
ACP6	chr1	0.387096774193548	0.629032258064516
ANKRD20A12P	chr1	0.32258064516129	0.274193548387097
ANKRD34A	chr1	0.532258064516129	0.0967741935483871
ANKRD35	chr1	0.903225806451613	0.145161290322581
BCL9	chr1	0.612903225806452	0.532258064516129
CD160	chr1	0.451612903225806	0.419354838709677
CHD1L	chr1	0.161290322580645	0.967741935483871
DRD5P2	chr1	0.975806451612903	0.508064516129032
FAM72C	chr1	0.258064516129032	0.82258064516129
FAM72D	chr1	0.225806451612903	0.806451612903226
FMO5	chr1	0.709677419354839	0.338709677419355
GJA5	chr1	0.838709677419355	0.161290322580645
GJA8	chr1	0.774193548387097	0.241935483870968
GNRHR2	chr1	0.435483870967742	0.951612903225806
GPR89A	chr1	0.241935483870968	0.919354838709677
GPR89B	chr1	0.129032258064516	0.935483870967742
HFE2	chr1	1	0.129032258064516
ITGA10	chr1	0.467741935483871	0.661290322580645
LINC00624	chr1	0.661290322580645	0.193548387096774
LINC01138	chr1	0.306451612903226	0.564516129032258
LIX1L	chr1	0.0806451612903226	0.709677419354839
LOC100132057	chr1	0.209677419354839	0.483870967741935
LOC101060524	chr1	0.975806451612903	0.508064516129032
LOC101927429	chr1	0.645161290322581	0.17741935483871
LOC101927468	chr1	0.790322580645161	0.112903225806452
LOC101928979	chr1	0.758064516129032	0.225806451612903
LOC102723769	chr1	0.290322580645161	0.387096774193548
LOC645166	chr1	0.548387096774194	0.258064516129032
LOC728989	chr1	0.870967741935484	0.354838709677419
MIR5087	chr1	0.580645161290323	0.0161290322580645
MIR6736	chr1	0.354838709677419	0.838709677419355
NBPF10	chr1	0.5	0.645161290322581
NBPF11	chr1	0.403225806451613	0.790322580645161
NBPF12	chr1	0.338709677419355	0.854838709677419
NBPF13P	chr1	0.806451612903226	0.209677419354839
NBPF14	chr1	0.370967741935484	0.887096774193548
NBPF15	chr1	0.193548387096774	0.903225806451613
NBPF20	chr1	0.596774193548387	0.467741935483871
NBPF25P	chr1	0.67741935483871	0.290322580645161
NBPF8	chr1	0.741935483870968	0.32258064516129
NBPF9	chr1	0.693548387096774	0.370967741935484
NOTCH2NL	chr1	0.629032258064516	0.306451612903226
NUDT17	chr1	0.032258064516129	0.596774193548387
PDE4DIP	chr1	0.564516129032258	0.403225806451613
PDIA3P1	chr1	0.854838709677419	0.774193548387097
PDZK1	chr1	0.419354838709677	0.451612903225806
PDZK1P1	chr1	0.516129032258065	0.67741935483871
PEX11B	chr1	0.0645161290322581	0.870967741935484
PFN1P2	chr1	0.0161290322580645	0.580645161290323
PIAS3	chr1	0.0483870967741935	0.758064516129032
POLR3C	chr1	0.112903225806452	1
POLR3GL	chr1	0.0967741935483871	0.548387096774194
PPIAL4D	chr1	0.935483870967742	0.0645161290322581
PPIAL4E	chr1	0.935483870967742	0.0645161290322581
PPIAL4F	chr1	0.935483870967742	0.0645161290322581
PPIAL4G	chr1	0.887096774193548	0.435483870967742
PRKAB2	chr1	0.274193548387097	0.741935483870968
RBM8A	chr1	0.483870967741935	0.983870967741935
RNF115	chr1	0.17741935483871	0.725806451612903
RNVU1-8	chr1	0.725806451612903	0.032258064516129
SEC22B	chr1	0.82258064516129	0.612903225806452
TXNIP	chr1	0.145161290322581	0.693548387096774
