gene	length
A1BG	6695
A1BG-AS1	3215
A1CF	86268
A2M	48256
A2M-AS1	2880
A2ML1	54311
A2MP1	5676
A3GALT2	14334
A4GALT	28797
A4GNT	8671
AA06	3975
AAAS	14174
AACS	77968
AACSP1	53576
AADAC	14417
AADACL2	23854
AADACL2-AS1	176998
AADACL3	12610
AADACL4	22533
AADACP1	14440
AADAT	29812
AAED1	14068
AAGAB	54063
AAK1	185852
AAMDC	79673
AAMP	6082
AANAT	16768
AAR2	20526
AARD	5777
AARS	37117
AARS2	14602
AARSD1	13974
AASDH	49225
AASDHPPT	21129
AASS	70748
AATBC	6811
AATF	107998
AATK	14654
AATK-AS1	17659
ABALON	1904
ABAT	109990
ABCA1	147245
ABCA10	96810
ABCA11P	48776
ABCA12	100546
ABCA13	476036
ABCA17P	85779
ABCA2	21056
ABCA3	64870
ABCA4	128313
ABCA5	71200
ABCA6	63170
ABCA7	25470
ABCA8	88107
ABCA9	86365
ABCA9-AS1	13611
ABCB1	209462
ABCB10	42115
ABCB11	108386
ABCB4	73660
ABCB5	141394
ABCB6	9226
ABCB7	103170
ABCB8	19362
ABCB9	45560
ABCC1	193498
ABCC10	22873
ABCC11	65362
ABCC12	63799
ABCC13	17588
ABCC2	69596
ABCC3	56847
ABCC4	281619
ABCC5	98026
ABCC5-AS1	5083
ABCC6	73908
ABCC6P1	27039
ABCC6P2	2272
ABCC8	83962
ABCC9	139306
ABCD1	19895
ABCD2	68823
ABCD3	60329
ABCD4	17789
ABCE1	31522
ABCF1	20141
ABCF2	19539
ABCF3	7934
ABCG1	97557
ABCG2	141060
ABCG4	13626
ABCG5	26349
ABCG8	39504
ABHD1	7025
ABHD10	14494
ABHD11	2774
ABHD11-AS1	933
ABHD12	96241
ABHD12B	32812
ABHD13	15842
ABHD14A	6176
ABHD14A-ACY1	14178
ABHD14B	6122
ABHD15	6355
ABHD16A	16126
ABHD16B	1777
ABHD17A	8545
ABHD17B	48795
ABHD17C	60312
ABHD18	74457
ABHD2	114212
ABHD3	53910
ABHD4	14120
ABHD5	31844
ABHD6	57236
ABHD8	11344
ABI1	114493
ABI2	103936
ABI3	13000
ABI3BP	244157
ABL1	173796
ABL2	130359
ABLIM1	227191
ABLIM2	106708
ABLIM3	118957
ABO	20069
ABR	176512
ABRA	10763
ABRACL	14622
ABT1	3108
ABTB1	7990
ABTB2	207023
ACAA1	14534
ACAA2	30379
ACACA	214767
ACACB	128830
ACAD10	71056
ACAD11	101995
ACAD8	12314
ACAD9	33626
ACADL	37501
ACADM	39333
ACADS	14272
ACADSB	49379
ACADVL	8144
ACAN	71913
ACAP1	14947
ACAP2	168354
ACAP3	15507
ACAT1	26635
ACAT2	17100
ACBD3	42045
ACBD4	11583
ACBD5	45667
ACBD6	214672
ACBD7	13303
ACCS	17842
ACCSL	11998
ACD	3305
ACE	21321
ACE2	41038
ACER1	27132
ACER2	43577
ACER3	165926
ACHE	5928
ACIN1	13007
ACKR1	1243
ACKR2	57813
ACKR3	12616
ACKR4	5406
ACLY	52107
ACMSD	63418
ACO1	66233
ACO2	59866
ACOD1	6154
ACOT1	6572
