gene	chrom	start	end	status
1110004E09Rik	chr16	90926055	90935094	BAE
1110007A13Rik	chr7	NA	NA	BAE
1110014N23Rik	chr19	NA	NA	BAE
1110020P15Rik	chr11	NA	NA	BAE
1110032A03Rik	chr9	50570932	50576257	BAE
1110059E24Rik	chr19	21671802	21727281	BAE
1500001M20Rik	chr6	NA	NA	BAE
1700030K09Rik	chr8	74967778	74984440	BAE
2010106G01Rik	chr2	NA	NA	BAE
2010111I01Rik	chr13	63066252	63404185	BAE
2210018M11Rik	chr7	NA	NA	BAE
2310008H09Rik	chr7	NA	NA	BAE
2610507B11Rik	chr11	78075255	78104127	BAE
2700029M09Rik	chr8	NA	NA	BAE
2810403A07Rik	chr3	88489715	88516855	BAE
2810474O19Rik	chr6	149257935	149284185	BAE
2900010M23Rik	chr17	NA	NA	BAE
4930422G04Rik	chr3	127256406	127320941	rMAE
4932438A13Rik	chr3	36762027	36951955	BAE
4933424B01Rik	chr6	NA	NA	BAE
5730437N04Rik	chr17	NA	NA	BAE
5730469M10Rik	chr14	NA	NA	rMAE
6720456H20Rik	chr14	NA	NA	BAE
9030624J02Rik	chr7	125883784	125985005	BAE
9130404D08Rik	chr8	NA	NA	BAE
A430078G23Rik	chr8	3353414	3390299	rMAE
AA960436	chr8	NA	NA	BAE
Aars	chr8	113557866	113580770	rMAE
Aasdh	chr5	77304959	77334539	rMAE
Aatf	chr11	84236357	84327003	BAE
Abca2	chr2	25284193	25304059	BAE
Abcc1	chr16	14361650	14474971	BAE
Abce1	chr8	82207340	82235639	BAE
Abcf2	chr5	24071158	24083285	BAE
Abhd12	chr2	150658250	150730467	BAE
Abhd14a	chr9	106342381	106350009	rMAE
Abl2	chr1	158488917	158579750	BAE
Acaca	chr11	84008939	84215153	BAE
Acad9	chr3	35964921	35991779	BAE
Acap2	chr16	31092498	31201324	BAE
Acbd3	chr1	182656173	182684335	BAE
Acin1	chr14	55260997	55305768	BAE
Acly	chr11	100337665	100389314	BAE
Aco2	chr15	81702892	81745567	BAE
Acp1	chr12	31578190	31596477	BAE
Acsl1	chr8	47556390	47621405	BAE
Acsl3	chr1	78654399	78704318	BAE
Acsl5	chr19	55327858	55371118	BAE
Actn4	chr7	29678272	29747299	BAE
Actr2	chr11	19962306	20012954	BAE
Actr3	chr1	127289481	127332304	BAE
Adam10	chr9	70526788	70628036	BAE
Adam9	chr8	26060082	26127394	BAE
Adat1	chr8	114490807	114516202	BAE
Adcy7	chr8	90796301	90853861	BAE
Adipor2	chr6	119303167	119367501	BAE
Adnp2	chr18	80323873	80348221	rMAE
Adpgk	chr9	59139378	59164007	BAE
Aff1	chr5	104183180	104284341	rMAE
Aff3	chr1	38234171	38721800	BAE
Aff4	chr11	53164268	53235332	BAE
Aggf1	chr13	96120671	96145289	BAE
Agpat5	chr8	18846278	18884413	BAE
Agtrap	chr4	147451169	147462173	rMAE
Agxt2l2	chr11	NA	NA	BAE
Ahcyl2	chr6	29718442	29862310	rMAE
AI480653	chr16	NA	NA	BAE
Aim2	chr1	175350734	175396167	rMAE
Ak3	chr19	29095321	29122392	BAE
Akap11	chr14	78892052	78936667	BAE
Akap12	chr10	5987069	6080212	rMAE
Akap13	chr7	82600419	82899495	rMAE
Akap8	chr17	32440616	32458183	BAE
Akap9	chr5	3928185	4080204	BAE
Akt1	chr12	113892031	113912487	BAE
Akt3	chr1	178952245	179178898	BAE
Aldh2	chr5	122017695	122043833	rMAE
Alg14	chr3	120994734	121064929	BAE
Ambra1	chr2	91570294	91759006	BAE
Ammecr1l	chr18	31919477	31943737	BAE
Anapc1	chr2	128435818	128513131	BAE
Anapc4	chr5	53225373	53257973	rMAE
Angel2	chr1	192748986	192770370	BAE
Ankfy1	chr11	72503503	72585648	BAE
Ankib1	chr5	3689998	3803124	BAE
Ankle2	chr5	110660022	110685670	BAE
Ankrd11	chr8	125407721	125566184	BAE
Ankrd17	chr5	90656190	90795211	BAE
Anks1	chr17	28046250	28199724	rMAE
Anp32a	chr9	62189149	62226609	BAE
Anp32b	chr4	46463988	46485395	BAE
Aoc2	chr11	101186376	101191008	BAE
Ap1ar	chr3	127510182	127540410	BAE
Ap1g1	chr8	112302539	112388108	BAE
Ap2b1	chr11	83116198	83218535	BAE
Ap4e1	chr2	126834446	126895550	BAE
Apbb1ip	chr2	22629846	22731173	BAE
Apc	chr18	34380637	34481844	BAE
Apobec1	chr6	122527809	122552462	rMAE
