gene	chrom	status
AATF	chr17	BAE
ABAT	chr16	rMAE
ABCA7	chr19	BAE
ABCC1	chr16	BAE
ABCF2	chr7	BAE
ABHD4	chr14	BAE
ABHD6	chr3	BAE
ABL1	chr9	BAE
ABLIM1	chr10	BAE
ABR	chr17	BAE
ABT1	chr6	BAE
ACAD9	chr3	BAE
ACADS	chr12	rMAE
ACCS	chr11	rMAE
ACO2	chr22	BAE
ACP1	chr2	BAE
ACTA2	chr10	BAE
ACTB	chr7	BAE
ACTL6A	chr3	BAE
ACTR1A	chr10	BAE
ACTR2	chr2	BAE
ADAMTS10	chr19	rMAE
ADAR	chr1	BAE
ADCK3	chr1	BAE
ADCY1	chr7	rMAE
ADD1	chr4	BAE
ADNP2	chr18	BAE
AES	chr19	BAE
AFAP1	chr4	rMAE
AFG3L2	chr18	BAE
AGAP11	chr10	rMAE
AGFG1	chr2	BAE
AGPAT3	chr21	BAE
AGPAT5	chr8	BAE
AGRN	chr1	BAE
AHRR	chr5	rMAE
AHSA1	chr14	BAE
AHSA2	chr2	BAE
AIFM2	chr10	BAE
AK2	chr1	BAE
AKAP1	chr17	BAE
AKAP13	chr15	BAE
AKAP9	chr7	BAE
AKT2	chr19	BAE
ALDH18A1	chr10	BAE
ALDH4A1	chr1	BAE
ALDH9A1	chr1	BAE
ALG1	chr16	BAE
ALG12	chr22	BAE
ALG3	chr3	BAE
ALKBH3	chr11	BAE
ALPK1	chr4	BAE
AMPD3	chr11	rMAE
AMZ2	chr17	BAE
ANAPC2	chr9	BAE
ANGEL1	chr14	BAE
ANKLE2	chr12	BAE
ANKRD11	chr16	BAE
ANKRD13A	chr12	BAE
ANKRD19	chr9	rMAE
ANKRD33B	chr5	BAE
ANKRD36BP1	chr1	rMAE
ANKRD57	chr2	rMAE
ANLN	chr7	BAE
ANO9	chr11	BAE
ANP32E	chr1	BAE
ANXA4	chr2	BAE
ANXA6	chr5	BAE
AP1B1	chr22	BAE
AP1G2	chr14	BAE
AP1S1	chr7	BAE
AP2B1	chr17	BAE
AP2M1	chr3	BAE
AP3B1	chr5	BAE
APC	chr5	BAE
APEX1	chr14	BAE
APH1A	chr1	BAE
API5	chr11	BAE
APOBEC3F	chr22	BAE
APRT	chr16	BAE
ARCN1	chr11	BAE
ARF4	chr3	BAE
ARF6	chr14	BAE
