name	chrom	h3k27me3_percentile	h3k36me3_percentile
A1BG	chr19	0.541882024776438	0.629091804085651
A1BG-AS1	chr19	0.76363934695217	0.848100746574781
A1CF	chr10	0.886044794486832	0.25092296332759
A2M	chr12	0.830502912462056	0.251128066289277
A2M-AS1	chr12	0.988760357699565	0.402699154975798
A2ML1	chr12	0.902124866683075	0.361637542046107
A2MP1	chr12	0.954056936582164	0.382476002953483
A3GALT2	chr1	0.918615144802691	0.424152924768234
A4GALT	chr22	0.567971121502995	0.611165805234228
A4GNT	chr3	0.762777914513086	0.134506522274182
AA06	chr17	0.913733694314546	0.432028878497005
AAAS	chr12	0.201288046599393	0.835425383542538
AACS	chr12	0.174665682172451	0.834728033472803
AACSP1	chr5	0.38592173270982	0.301009106571499
AADAC	chr3	0.84826482894413	0.296578882599065
AADACL2	chr3	0.697883337435393	0.0576339322339815
AADACL2-AS1	chr3	0.747969480679301	0.35724833866601
AADACL3	chr1	0.805890557059644	0.0856099762080564
AADACL4	chr1	0.786241693330052	0.181311018131102
AADACP1	chr3	0.726679793256215	0.106407416523095
AADAT	chr4	0.829190253507261	0.141767167117893
AAED1	chr9	0.573385839691525	0.500697350069735
AAGAB	chr15	0.228402658134383	0.709533185659201
AAK1	chr2	0.305685454097957	0.695627204856838
AAMDC	chr11	0.393100336368857	0.642259414225941
AAMP	chr2	0.123430962343096	0.86779063089671
AANAT	chr17	0.426285995569776	0.158626630568545
AAR2	chr20	0.143284929034375	0.946427106407417
AARD	chr8	0.870744113545	0.125523012552301
AARS	chr16	0.283452293051112	0.986586266305685
AARS2	chr6	0.207769300188695	0.842275822462876
AARSD1	chr17	0.0305603412913282	0.877635573057675
AASDH	chr4	0.427557633932234	0.678111411928788
AASDHPPT	chr11	0.384937238493724	0.850726064484371
AASS	chr7	0.559725982443186	0.442448108950693
AATBC	chr21	0.319632455492657	0.587168758716876
AATF	chr17	0.324965132496513	0.903109360899171
AATK	chr17	0.653334974157027	0.0497169579128723
AATK-AS1	chr17	0.815079169743211	0.0638690622692592
ABALON	chr20	0.112355402412011	0.517925998851423
ABAT	chr16	0.577693001886947	0.467306587907129
ABCA1	chr9	0.827590450406104	0.179259988514234
ABCA10	chr17	0.339158257445238	0.563253753384199
ABCA11P	chr4	0.492452211009927	0.835302321765526
ABCA12	chr2	0.461522684387563	0.54463040446304
ABCA13	chr7	0.72163426039872	0.239232094511445
ABCA17P	chr16	0.615637049798999	0.172245467224547
ABCA2	chr9	0.7098613503979	0.0596849618508491
ABCA3	chr16	0.591722044466322	0.578923619657068
ABCA4	chr1	0.883050291246206	0.146812699975388
ABCA5	chr17	0.167322996144064	0.705226023463779
ABCA6	chr17	0.39428993354664	0.63561407826729
ABCA7	chr19	0.139141849208303	0.645171876281894
ABCA8	chr17	0.636803675445073	0.222044466322094
ABCA9	chr17	0.51534170153417	0.528591352859135
ABCA9-AS1	chr17	0.572442366067766	0.606694560669456
ABCB1	chr7	0.697637213881368	0.3006809418328
ABCB10	chr1	0.170358519977028	0.821888588071212
ABCB11	chr2	0.863852654032324	0.250184592665518
ABCB4	chr7	0.508532283206169	0.541964065961112
ABCB5	chr7	0.712814833046189	0.265116088276315
ABCB6	chr2	0.366231848387891	0.893387480515219
ABCB8	chr7	0.0642792681926327	0.596931659693166
ABCB9	chr12	0.524612355402412	0.373615555008614
ABCC1	chr16	0.16211338091722	0.915825744523751
ABCC10	chr6	0.0932398063828042	0.826359832635983
ABCC11	chr16	0.727418163918287	0.220936910328985
ABCC12	chr16	0.651037820986135	0.165436048896546
ABCC13	chr21	0.685905324472885	0.214250553777997
ABCC2	chr10	0.613586020182131	0.363729592255312
ABCC3	chr17	0.727951431618673	0.159200918861268
ABCC4	chr13	0.232504717368119	0.782590860612027
ABCC5	chr3	0.198457625728116	0.603576995651817
ABCC5-AS1	chr3	0.0862663056854541	0.591804085650997
ABCC6	chr16	0.697801296250718	0.19078677496103
ABCC6P1	chr16	0.735909426532119	0.295184182459595
ABCC6P2	chr16	0.868652063335795	0.0418410041841004
ABCC8	chr11	0.903724669784232	0.164820740011486
ABCC9	chr12	0.604110263352203	0.333251292148659
ABCD2	chr12	0.250184592665518	0.717819345311346
ABCD3	chr1	0.279842480925425	0.619616047255722
ABCD4	chr14	0.402904257937485	0.84067601936172
ABCE1	chr4	0.397940766264665	0.937402576093199
