name	chrom	h3k27me3_percentile	h3k36me3_percentile
AAGAB	chr15	0.242990654205607	0.699766355140187
ABHD17C	chr15	0.428738317757009	0.536214953271028
ABHD2	chr15	0.105140186915888	0.676401869158878
ACAN	chr15	0.875	0.172897196261682
ACSBG1	chr15	0.621495327102804	0.463785046728972
ACTC1	chr15	0.970794392523365	0.106308411214953
ACTG1P17	chr15	0.435747663551402	0.593457943925234
ADAL	chr15	0.0957943925233645	0.726635514018692
ADAM10	chr15	0.23714953271028	0.760514018691589
ADAMTS17	chr15	0.751168224299065	0.216121495327103
ADAMTS7	chr15	0.787383177570093	0.188084112149533
ADAMTS7P1	chr15	0.758177570093458	0.285046728971963
ADAMTSL3	chr15	0.635514018691589	0.373831775700935
ADPGK	chr15	0.427570093457944	0.983644859813084
ADPGK-AS1	chr15	0.700934579439252	0.300233644859813
AEN	chr15	0.452102803738318	0.981308411214953
AGBL1	chr15	0.619158878504673	0.292056074766355
AGBL1-AS1	chr15	0.648364485981308	0.269859813084112
AKAP13	chr15	0.356308411214953	0.742990654205608
ALDH1A2	chr15	0.893691588785047	0.280373831775701
ALDH1A3	chr15	0.919392523364486	0.348130841121495
ALPK3	chr15	0.907710280373832	0.143691588785047
ANKDD1A	chr15	0.41588785046729	0.52803738317757
ANKRD34C	chr15	0.952102803738318	0.161214953271028
ANKRD34C-AS1	chr15	0.910046728971963	0.146028037383178
ANKRD63	chr15	0.982476635514019	0.202102803738318
ANP32A	chr15	0.293224299065421	0.894859813084112
ANP32A-IT1	chr15	0.0455607476635514	0.795560747663551
ANP32AP1	chr15	0.581775700934579	0.519859813084112
ANPEP	chr15	0.767523364485981	0.122663551401869
ANXA2	chr15	0.226635514018692	0.857476635514019
AP3B2	chr15	0.841121495327103	0.169392523364486
AP3S2	chr15	0.332943925233645	0.789719626168224
AP4E1	chr15	0.213785046728972	0.787383177570093
APBA2	chr15	0.803738317757009	0.156542056074766
APH1B	chr15	0.413551401869159	0.586448598130841
AQP9	chr15	0.886682242990654	0.0864485981308411
AQR	chr15	0.371495327102804	0.908878504672897
ARHGAP11A	chr15	0.248831775700935	0.911214953271028
ARHGAP11B	chr15	0.192757009345794	0.90303738317757
ARID3B	chr15	0.373831775700935	0.975467289719626
ARIH1	chr15	0.322429906542056	0.80607476635514
ARNT2	chr15	0.901869158878505	0.200934579439252
ARPIN	chr15	0.713785046728972	0.242990654205607
ARPP19	chr15	0.200934579439252	0.799065420560748
ARRDC4	chr15	0.61214953271028	0.183411214953271
ASB7	chr15	0.289719626168224	0.808411214953271
ASB9P1	chr15	0.455607476635514	0.130841121495327
ATP10A	chr15	0.623831775700935	0.339953271028037
ATP8B4	chr15	0.776869158878505	0.240654205607477
AVEN	chr15	0.436915887850467	0.496495327102804
B2M	chr15	0.535046728971963	0.994158878504673
BAHD1	chr15	0.5	0.674065420560748
BBS4	chr15	0.139018691588785	0.606308411214953
BCL2A1	chr15	0.167056074766355	0.59696261682243
BCL2L10	chr15	0.335280373831776	0.369158878504673
BLM	chr15	0.174065420560748	0.814252336448598
BLOC1S6	chr15	0.251168224299065	0.730140186915888
BMF	chr15	0.0759345794392523	0.651869158878505
BNC1	chr15	0.894859813084112	0.307242990654206
BNIP2	chr15	0.25	0.899532710280374
BTBD1	chr15	0.286214953271028	0.941588785046729
BUB1B	chr15	0.386682242990654	0.956775700934579
BUB1B-PAK6	chr15	0.712616822429907	0.615654205607477
C15orf32	chr15	0.848130841121495	0.102803738317757
C15orf38-AP3S2	chr15	0.517523364485981	0.690420560747664
C15orf39	chr15	0.551401869158878	0.996495327102804
C15orf40	chr15	0.224299065420561	0.723130841121495
C15orf41	chr15	0.351635514018692	0.56892523364486
C15orf48	chr15	0.829439252336449	0.429906542056075
C15orf52	chr15	0.643691588785047	0.108644859813084
C15orf53	chr15	0.110981308411215	0.279205607476636
C15orf54	chr15	0.509345794392523	0.022196261682243
C15orf56	chr15	0.997663551401869	0.0642523364485981
C15orf57	chr15	0.266355140186916	0.664719626168224
C15orf59	chr15	0.825934579439252	0.0852803738317757
C15orf59-AS1	chr15	0.792056074766355	0.0303738317757009
C15orf61	chr15	0.47196261682243	0.560747663551402
C15orf62	chr15	0.311915887850467	0.844626168224299
C15orf65	chr15	0.573598130841122	0.385514018691589
