gene	chrom	status
0610007C21Rik	NA	Uncertain
0610007L01Rik	NA	Uncertain
0610007N19Rik	chr15	Uncertain
0610007P08Rik	NA	BAE
0610007P14Rik	chr12	Uncertain
0610007P22Rik	NA	Uncertain
0610009B22Rik	chr11	Uncertain
0610009D07Rik	chr12	Uncertain
0610009L18Rik	chr11	Uncertain
0610009O20Rik	chr18	Uncertain
0610010F05Rik	chr11	Uncertain
0610010O12Rik	NA	Uncertain
0610011F06Rik	NA	Uncertain
0610011L14Rik	NA	Uncertain
0610012G03Rik	chr16	Uncertain
0610012H03Rik	NA	Uncertain
0610030E20Rik	chr6	Uncertain
0610031J06Rik	chr3	Uncertain
0610037L13Rik	chr4	Uncertain
0610037P05Rik	NA	Uncertain
0610038B21Rik	chr8	Uncertain
0610038L08Rik	chr17	Uncertain
0610039K10Rik	chr2	Uncertain
0610040B10Rik	chr5	Uncertain
0610040F04Rik	chr6	Uncertain
0610040J01Rik	chr5	Uncertain
1-Mar	NA	Uncertain
10-Sep	NA	Uncertain
11-Sep	NA	Uncertain
1110001A16Rik	chr17	Uncertain
1110001J03Rik	chr6	Uncertain
1110002B05Rik	NA	Uncertain
1110002L01Rik	chr12	Uncertain
1110002N22Rik	NA	Uncertain
1110003E01Rik	NA	Uncertain
1110004E09Rik	chr16	BAE
1110004F10Rik	chr7	Uncertain
1110005A03Rik	NA	BAE
1110006O24Rik	NA	Uncertain
1110007C09Rik	NA	Uncertain
1110008F13Rik	chr2	Uncertain
1110008J03Rik	chr5	Uncertain
1110008L16Rik	chr12	Uncertain
1110008P14Rik	NA	Uncertain
1110012D08Rik	NA	Uncertain
1110012J17Rik	NA	Uncertain
1110012L19Rik	NA	Uncertain
1110014N23Rik	NA	BAE
1110017F19Rik	NA	Uncertain
1110018G07Rik	chr12	Uncertain
1110018J18Rik	NA	Uncertain
1110019D14Rik	chr6	Uncertain
1110020A21Rik	chr17	Uncertain
1110020G09Rik	NA	BAE
1110021J02Rik	NA	Uncertain
1110021L09Rik	NA	Uncertain
1110028C15Rik	NA	Uncertain
1110028F11Rik	chr11	Uncertain
1110028F18Rik	chr8	Uncertain
1110031I02Rik	NA	Uncertain
1110032A03Rik	chr9	BAE
1110032F04Rik	NA	Uncertain
1110034A24Rik	NA	Uncertain
1110034B05Rik	NA	Uncertain
1110034G24Rik	chr2	Uncertain
1110035M17Rik	chr11	Uncertain
1110037F02Rik	chr4	Uncertain
1110038B12Rik	chr17	Uncertain
1110038D17Rik	NA	Uncertain
1110038F14Rik	chr15	Uncertain
1110046J04Rik	chr13	Uncertain
1110049F12Rik	NA	Uncertain
1110051M20Rik	chr2	Uncertain
1110054M08Rik	chr16	Uncertain
1110054O05Rik	NA	Uncertain
1110057K04Rik	chr12	Uncertain
1110058L19Rik	chr1	Uncertain
1110059E24Rik	chr19	BAE
1110059G10Rik	chr9	Uncertain
1110065P20Rik	NA	Uncertain
1110067D22Rik	NA	Uncertain
1190002H23Rik	NA	Uncertain
1190002N15Rik	chr9	Uncertain
1190005F20Rik	NA	Uncertain
1190005I06Rik	chr8	Uncertain
1190007F08Rik	NA	Uncertain
1190007I07Rik	chr10	Uncertain
1200009I06Rik	NA	Uncertain
1200011I18Rik	chr14	Uncertain
1200011M11Rik	NA	Uncertain
1200016B10Rik	NA	Uncertain
1300001I01Rik	NA	Uncertain
1300002E11Rik	chr16	Uncertain
1300002K09Rik	chr4	Uncertain
1300010F03Rik	NA	BAE
1300014I06Rik	NA	Uncertain
1300018I17Rik	NA	Uncertain
1300018J18Rik	NA	Uncertain
15-Sep	NA	Uncertain
1500001M20Rik	NA	BAE
1500002O20Rik	NA	Uncertain
1500004A13Rik	chr3	Uncertain
1500009C09Rik	NA	Uncertain
1500009L16Rik	chr10	Uncertain
1500010J02Rik	NA	Uncertain
1500011B03Rik	chr5	Uncertain
1500011H22Rik	NA	Uncertain
1500012F01Rik	chr2	Uncertain
1500015A07Rik	chr18	Uncertain
1500015O10Rik	chr1	Uncertain
1500016L03Rik	NA	Uncertain
1500017E21Rik	NA	Uncertain
1500031L02Rik	NA	Uncertain
1500032L24Rik	chr15	Uncertain
1520402A15Rik	NA	Uncertain
1600002D24Rik	chr16	Uncertain
1600002H07Rik	chr17	Uncertain
1600002K03Rik	chr10	Uncertain
1600012F09Rik	NA	Uncertain
1600012H06Rik	chr17	Uncertain
1600014C10Rik	chr7	Uncertain
1600014C23Rik	chr17	Uncertain
1600016N20Rik	chr7	Uncertain
1600019K03Rik	chr16	Uncertain
1600020E01Rik	chr6	Uncertain
1600021P15Rik	NA	Uncertain
1600023N17Rik	chr5	Uncertain
1600027N09Rik	NA	Uncertain
1600029I14Rik	chr9	Uncertain
1600029O15Rik	chr9	Uncertain
1700001C19Rik	NA	Uncertain
1700001D01Rik	chr8	Uncertain
1700001G11Rik	chr14	Uncertain
