gene	length
0610005C13Rik	7382
0610005C13Rik	7382
0610007P14Rik	9091
0610009B22Rik	3250
0610009L18Rik	2513
0610009O20Rik	12381
0610010B08Rik	146208
0610010B08Rik	16387
0610010B08Rik	16379
0610010B08Rik	16387
0610010B08Rik	16381
0610010B08Rik	16387
0610010F05Rik	60381
0610010F05Rik	60381
0610010K14Rik	2711
0610010K14Rik	2711
0610010K14Rik	2711
0610010K14Rik	2711
0610010K14Rik	2711
0610010K14Rik	2711
0610012G03Rik	1471
0610030E20Rik	5844
0610031O16Rik	28947
0610037L13Rik	7904
0610037L13Rik	7978
0610038B21Rik	1523
0610039H22Rik	4176
0610039K10Rik	951
0610040B10Rik	3397
0610040F04Rik	83899
0610040F04Rik	12950
0610040J01Rik	87125
0610043K17Rik	45403
1010001N08Rik	10531
1010001N08Rik	2639
1110002J07Rik	8195
1110002J07Rik	8195
1110002L01Rik	22865
1110004E09Rik	9039
1110004F10Rik	11831
1110006O24Rik	768
1110008F13Rik	10441
1110008L16Rik	79855
1110008P14Rik	2815
1110012L19Rik	3504
1110015O18Rik	16204
1110017D15Rik	12325
1110017D15Rik	2756
1110017D15Rik	12325
1110017D15Rik	12325
1110017D15Rik	2751
1110017D15Rik	2756
1110017D15Rik	2756
1110017D15Rik	12325
1110019D14Rik	24853
1110020A21Rik	40242
1110020A21Rik	2744
1110025L11Rik	593
1110028F11Rik	5804
1110028F18Rik	7678
1110032A03Rik	5325
1110032A03Rik	3106
1110032F04Rik	2578
1110034G24Rik	60773
1110036E04Rik	4272
1110037F02Rik	65186
1110037F02Rik	65186
1110038B12Rik	2236
1110038B12Rik	2233
1110038F14Rik	2188
1110038F14Rik	2719
1110046J04Rik	24150
1110051M20Rik	166815
1110051M20Rik	171475
1110058D11Rik	811
1110059E24Rik	55479
1110059G10Rik	5912
1110065P20Rik	1246
1110065P20Rik	1080
1190002N15Rik	20218
1190005I06Rik	25781
1190007I07Rik	3378
1190007I07Rik	3378
1190007I07Rik	3378
1300002E11Rik	14693
1300002E11Rik	11779
1300017J02Rik	37768
1500004A13Rik	10478
1500009C09Rik	4731
1500009C09Rik	8355
1500009L16Rik	39898
1500011B03Rik	5781
1500011B03Rik	1177
1500011K16Rik	1112
1500012K07Rik	22718
1500012K07Rik	9790
1500015A07Rik	1864
1500015L24Rik	17498
1500015O10Rik	11963
1500026H17Rik	14504
1600002D24Rik	67591
1600002D24Rik	87192
1600002H07Rik	5714
1600002K03Rik	2176
1600010M07Rik	8270
1600012H06Rik	2756
1600012H06Rik	2756
1600012H06Rik	2756
1600012H06Rik	2756
1600014C10Rik	14349
1600014C10Rik	13779
1600014C23Rik	981
1600015I10Rik	3792
1600019K03Rik	6250
1600020E01Rik	37049
1600020E01Rik	37120
1600023N17Rik	1008
1600025M17Rik	3057
1600027J07Rik	3657
1600029I14Rik	4331
1600029O15Rik	5912
1700001C02Rik	18011
1700001C19Rik	1978
1700001C19Rik	24642
1700001C19Rik	9147
1700001D01Rik	7351
1700001F09Rik	5428
1700001G01Rik	102052
1700001G11Rik	1801
1700001G17Rik	889
1700001J03Rik	2855
1700001J11Rik	2468
1700001K19Rik	14931
1700001K23Rik	6470
1700001L05Rik	13451
1700001L19Rik	16793
1700001O22Rik	8102
1700001O22Rik	8102
1700001O22Rik	6175
1700001P01Rik	4438
1700003C15Rik	19476
1700003D09Rik	7566
1700003E16Rik	6572
1700003E24Rik	651
1700003E24Rik	651
1700003F12Rik	1145
1700003G13Rik	3814
1700003G18Rik	11388
1700003H04Rik	15201
1700003I22Rik	1226
1700003I22Rik	1226
1700003L19Rik	37264
1700003M07Rik	4765
1700003M07Rik	4291
1700003P14Rik	32462
1700006A11Rik	24874
1700006E09Rik	5209
1700006F04Rik	2338
1700006H21Rik	4772
1700007F19Rik	22101
1700007G11Rik	472716
1700007J10Rik	14238
1700007K09Rik	3569
1700007K13Rik	4324
1700007L15Rik	883
1700007P06Rik	2715
1700008C04Rik	57388
1700008J07Rik	2432
1700008K24Rik	1270
1700008K24Rik	1270
1700008K24Rik	1270
1700008K24Rik	1270
1700008K24Rik	1270
1700008O03Rik	14986
1700008P02Rik	5031
1700009C05Rik	10336
1700009J07Rik	2692
1700009N14Rik	1486
1700010B08Rik	2672
1700010D01Rik	676
1700010I02Rik	29585
1700010I14Rik	19987
1700010I14Rik	19987
1700010J16Rik	58674
1700010K23Rik	7509
1700011B04Rik	6392
1700011C11Rik	66143
1700011H14Rik	19070
1700011I03Rik	197240
1700011I03Rik	197286
1700011L22Rik	38154
1700011M02Rik	747
1700012A03Rik	8628
1700012B07Rik	36486
1700012B07Rik	39756
1700012B09Rik	12837
1700012C14Rik	2329
1700012D01Rik	1729
1700012D14Rik	5003
1700012D16Rik	2148
1700012H19Rik	2164
1700012I11Rik	150326
1700012P22Rik	20582
1700013D24Rik	9493
1700013F07Rik	7114
1700013G24Rik	2166
1700013H16Rik	14931
1700015F17Rik	41317
1700015G11Rik	4037
1700016C15Rik	23492
1700016D06Rik	23827
1700016G22Rik	2584
1700016H13Rik	7138
1700016H13Rik	7146
1700016K19Rik	3658
1700016L04Rik	53411
1700016L21Rik	29729
1700016P04Rik	2660
1700017B05Rik	10278
1700017D01Rik	34063
1700017G19Rik	18048
1700017J07Rik	638
1700017L05Rik	3370
1700017N19Rik	26006
1700018A04Rik	17022
1700018B08Rik	11171
1700018B24Rik	3370
1700018F24Rik	2689
1700018G05Rik	736
1700018L02Rik	1247
1700019A02Rik	29041
1700019B21Rik	16473
1700019B21Rik	5531
1700019C18Rik	1389
1700019D03Rik	27714
1700019E08Rik	1843
1700019G24Rik	13497
1700019M22Rik	602
1700019N19Rik	8612
1700019P21Rik	679
1700020A23Rik	816
1700020A23Rik	779
1700020D05Rik	1019
1700020D14Rik	1640
1700020D14Rik	1639
1700020G17Rik	95334
1700020I14Rik	6449
1700020I14Rik	6449
1700020L24Rik	3539
1700020M21Rik	1477
1700020N01Rik	29231
1700020N15Rik	700
1700020N18Rik	1151
1700021F05Rik	15874
1700021F07Rik	5911
1700021N21Rik	1407
1700022A21Rik	3408
1700022A22Rik	49315
1700022E09Rik	2367
1700022H01Rik	5764
1700022H16Rik	5350
1700022I11Rik	4380
1700023C21Rik	2599
1700023F02Rik	3456
1700023F06Rik	9605
1700024B18Rik	28050
1700024F13Rik	3344
1700024G13Rik	11872
1700024I08Rik	58543
1700024N05Rik	12405
1700024N05Rik	9863
1700024P04Rik	476
1700024P16Rik	103408
1700024P16Rik	103408
1700024P16Rik	103408
1700024P16Rik	103408
1700025B11Rik	3653
1700025C18Rik	12058
1700025F22Rik	25638
1700025F24Rik	13421
1700025G04Rik	205797
1700025J12Rik	1689
1700025K24Rik	17492
1700025M24Rik	15605
1700025M24Rik	15605
1700025M24Rik	15605
